"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AZANGARO (000)",38599,3795,3792,19065,205,11344,398
"Agric., ganadería, caza y silvicultura (001)",25909,18,1279,13908,92,10612,
"Pesca (002)",42,6,8,12,4,12,
"Explotación de minas y canteras (003)",716,12,563,123,12,6,
"Industrias manufactureras (004)",1096,14,244,671,27,140,
"Suministro de electricidad, gas y agua (005)",37,11,23,3,,,
"Construcción (006)",1767,128,1309,286,7,37,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2872,138,40,2377,38,279,
"Venta, mant.y rep. veh.autom y motoc. (008)",154,3,26,108,4,13,
"Comercio al por mayor (009)",127,20,,95,1,11,
"Comercio al por menor (010)",2591,115,14,2174,33,255,
"Hoteles y restaurantes (011)",481,83,33,319,4,42,
"Trans., almac. y comunicaciones (012)",906,99,110,646,13,38,
"Intermediación financiera (013)",12,12,,,,,
"Activid.inmobil., empres. y alquileres (014)",226,148,18,54,,6,
"Admin.pub. y defensa; p. segur soc.afil (015)",821,747,74,,,,
"Enseñanza (016)",2114,1982,1,129,1,1,
"Servicios sociales y de salud (017)",292,262,2,26,1,1,
"Otras activ. serv.comun.soc y personales (018)",211,44,15,141,2,9,
"Hogares privados con servicio doméstico (019)",398,,,,,,398
"Actividad economica no especificada (021)",699,91,73,370,4,161,
"Hombres (022)",22914,2654,3066,12749,139,4279,27
"Agric., ganadería, caza y silvicultura (023)",14738,13,698,10003,58,3966,
"Pesca (024)",31,3,8,11,4,5,
"Explotación de minas y canteras (025)",674,12,545,101,11,5,
"Industrias manufactureras (026)",727,12,198,408,20,89,
"Suministro de electricidad, gas y agua (027)",34,9,22,3,,,
"Construcción (028)",1714,107,1280,284,7,36,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1117,71,40,919,22,65,
"Venta, mant.y rep. veh.autom y motoc. (030)",134,3,26,90,4,11,
"Comercio al por mayor (031)",72,11,,57,,4,
"Comercio al por menor (032)",911,57,14,772,18,50,
"Hoteles y restaurantes (033)",104,22,20,50,1,11,
"Trans., almac. y comunicaciones (034)",862,86,106,628,12,30,
"Intermediación financiera (035)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (036)",172,106,15,48,,3,
"Admin.pub. y defensa; p. segur soc.afil (037)",615,547,68,,,,
"Enseñanza (038)",1543,1467,1,74,,1,
"Servicios sociales y de salud (039)",143,118,2,22,1,,
"Otras activ. serv.comun.soc y personales (040)",104,30,9,63,1,1,
"Hogares privados con servicio doméstico (041)",27,,,,,,27
"Actividad economica no especificada (043)",305,47,54,135,2,67,
"Mujeres (044)",15685,1141,726,6316,66,7065,371
"Agric., ganadería, caza y silvicultura (045)",11171,5,581,3905,34,6646,
"Pesca (046)",11,3,,1,,7,
"Explotación de minas y canteras (047)",42,,18,22,1,1,
"Industrias manufactureras (048)",369,2,46,263,7,51,
"Suministro de electricidad, gas y agua (049)",3,2,1,,,,
"Construcción (050)",53,21,29,2,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1755,67,,1458,16,214,
"Venta, mant.y rep. veh.autom y motoc. (052)",20,,,18,,2,
"Comercio al por mayor (053)",55,9,,38,1,7,
"Comercio al por menor (054)",1680,58,,1402,15,205,
"Hoteles y restaurantes (055)",377,61,13,269,3,31,
"Trans., almac. y comunicaciones (056)",44,13,4,18,1,8,
"Intermediación financiera (057)",8,8,,,,,
"Activid.inmobil., empres. y alquileres (058)",54,42,3,6,,3,
"Admin.pub. y defensa; p. segur soc.afil (059)",206,200,6,,,,
"Enseñanza (060)",571,515,,55,1,,
"Servicios sociales y de salud (061)",149,144,,4,,1,
"Otras activ. serv.comun.soc y personales (062)",107,14,6,78,1,8,
"Hogares privados con servicio doméstico (063)",371,,,,,,371
"Actividad economica no especificada (065)",394,44,19,235,2,94,
,,,,,,,
"URBANA (066)",9655,2810,1391,4244,60,964,186
"Agric., ganadería, caza y silvicultura (067)",2146,12,239,1249,15,631,
"Pesca (068)",3,1,,,,2,
"Explotación de minas y canteras (069)",237,4,185,44,4,,
"Industrias manufactureras (070)",505,8,75,387,10,25,
"Suministro de electricidad, gas y agua (071)",29,11,16,2,,,
"Construcción (072)",994,122,692,157,4,19,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1837,71,21,1538,13,194,
"Venta, mant.y rep. veh.autom y motoc. (074)",101,3,12,76,2,8,
"Comercio al por mayor (075)",78,12,,55,,11,
"Comercio al por menor (076)",1658,56,9,1407,11,175,
"Hoteles y restaurantes (077)",307,55,20,201,3,28,
"Trans., almac. y comunicaciones (078)",488,66,59,332,9,22,
"Intermediación financiera (079)",10,10,,,,,
"Activid.inmobil., empres. y alquileres (080)",157,104,11,38,,4,
"Admin.pub. y defensa; p. segur soc.afil (081)",587,549,38,,,,
"Enseñanza (082)",1554,1477,1,75,,1,
"Servicios sociales y de salud (083)",238,222,2,13,,1,
"Otras activ. serv.comun.soc y personales (084)",150,33,8,101,1,7,
"Hogares privados con servicio doméstico (085)",186,,,,,,186
"Actividad economica no especificada (087)",227,65,24,107,1,30,
"Hombres (088)",5862,1859,1240,2305,42,402,14
"Agric., ganadería, caza y silvicultura (089)",1334,9,149,875,9,292,
"Explotación de minas y canteras (091)",222,4,180,35,3,,
"Industrias manufactureras (092)",311,6,57,227,7,14,
"Suministro de electricidad, gas y agua (093)",26,9,15,2,,,
"Construcción (094)",956,101,676,156,4,19,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",598,33,21,497,9,38,
"Venta, mant.y rep. veh.autom y motoc. (096)",81,3,12,58,2,6,
"Comercio al por mayor (097)",34,7,,23,,4,
"Comercio al por menor (098)",483,23,9,416,7,28,
"Hoteles y restaurantes (099)",65,12,14,30,,9,
"Trans., almac. y comunicaciones (100)",455,57,56,318,9,15,
"Intermediación financiera (101)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (102)",114,69,9,35,,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",412,375,37,,,,
"Enseñanza (104)",1067,1030,1,35,,1,
"Servicios sociales y de salud (105)",111,97,2,12,,,
"Otras activ. serv.comun.soc y personales (106)",77,24,6,46,,1,
"Hogares privados con servicio doméstico (107)",14,,,,,,14
"Actividad economica no especificada (109)",96,29,17,37,1,12,
"Mujeres (110)",3793,951,151,1939,18,562,172
"Agric., ganadería, caza y silvicultura (111)",812,3,90,374,6,339,
"Pesca (112)",3,1,,,,2,
"Explotación de minas y canteras (113)",15,,5,9,1,,
"Industrias manufactureras (114)",194,2,18,160,3,11,
"Suministro de electricidad, gas y agua (115)",3,2,1,,,,
"Construcción (116)",38,21,16,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1239,38,,1041,4,156,
"Venta, mant.y rep. veh.autom y motoc. (118)",20,,,18,,2,
"Comercio al por mayor (119)",44,5,,32,,7,
"Comercio al por menor (120)",1175,33,,991,4,147,
