"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHEPEN (000)",75772,61946,13826
"Casa independiente (001)",73372,59903,13469
"Departamento en edificio (002)",530,530,
"Vivienda en quinta (003)",889,889,
"Vivienda en casa de vecindad (004)",558,558,
"Choza o cabaña (005)",350,,350
"Vivienda improvisada (006)",24,24,
"Local no dest.para hab. humana (007)",45,41,4
"Otro tipo (008)",4,1,3
