"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARABAYA (000)",24576,21197,1457,943,979
"Hombres (001)",15403,12689,1146,798,770
"Mujeres (002)",9173,8508,311,145,209
"De 06 a 14 años (003)",637,626,10,1,
"Hombres (004)",343,334,8,1,
"Mujeres (005)",294,292,2,,
"De 15 a 29 años (006)",8578,7233,608,364,373
"Hombres (007)",5247,4181,490,312,264
"Mujeres (008)",3331,3052,118,52,109
"De 30 a 44 años (009)",8603,7162,615,403,423
"Hombres (010)",5486,4343,469,328,346
"Mujeres (011)",3117,2819,146,75,77
"De 45 a 64 años (012)",5246,4703,198,170,175
"Hombres (013)",3352,2888,159,153,152
"Mujeres (014)",1894,1815,39,17,23
"De 65 y más años (015)",1512,1473,26,5,8
"Hombres (016)",975,943,20,4,8
"Mujeres (017)",537,530,6,1,
,,,,,
"URBANA (018)",8154,6046,665,694,749
"Hombres (019)",5057,3419,497,569,572
"Mujeres (020)",3097,2627,168,125,177
"De 06 a 14 años (021)",99,93,6,,
"Hombres (022)",56,51,5,,
"Mujeres (023)",43,42,1,,
"De 15 a 29 años (024)",2642,1888,242,246,266
"Hombres (025)",1586,1034,180,199,173
"Mujeres (026)",1056,854,62,47,93
"De 30 a 44 años (027)",3322,2376,306,306,334
"Hombres (028)",2072,1337,219,245,271
"Mujeres (029)",1250,1039,87,61,63
"De 45 a 64 años (030)",1731,1354,96,138,143
"Hombres (031)",1117,794,79,122,122
"Mujeres (032)",614,560,17,16,21
"De 65 y más años (033)",360,335,15,4,6
"Hombres (034)",226,203,14,3,6
"Mujeres (035)",134,132,1,1,
,,,,,
"RURAL (036)",16422,15151,792,249,230
"Hombres (037)",10346,9270,649,229,198
"Mujeres (038)",6076,5881,143,20,32
"De 06 a 14 años (039)",538,533,4,1,
"Hombres (040)",287,283,3,1,
"Mujeres (041)",251,250,1,,
"De 15 a 29 años (042)",5936,5345,366,118,107
"Hombres (043)",3661,3147,310,113,91
"Mujeres (044)",2275,2198,56,5,16
"De 30 a 44 años (045)",5281,4786,309,97,89
"Hombres (046)",3414,3006,250,83,75
"Mujeres (047)",1867,1780,59,14,14
"De 45 a 64 años (048)",3515,3349,102,32,32
"Hombres (049)",2235,2094,80,31,30
"Mujeres (050)",1280,1255,22,1,2
"De 65 y más años (051)",1152,1138,11,1,2
"Hombres (052)",749,740,6,1,2
"Mujeres (053)",403,398,5,,
