"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PUNO (000)",92943,44993,47950
"Casa independiente (001)",81267,41604,39663
"Departamento en edificio (002)",1292,1292,
"Vivienda en quinta (003)",391,391,
"Vivienda en casa de vecindad (004)",1540,1540,
"Choza o cabaña (005)",8280,,8280
"Vivienda improvisada (006)",131,131,
"Local no dest.para hab. humana (007)",32,28,4
"Otro tipo (008)",10,7,3
