"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN PABLO (000)",5923,679,1169,2832,24,1144,75
"Agric., ganadería, caza y silvicultura (001)",3967,6,827,2157,15,962,
"Explotación de minas y canteras (003)",13,1,9,3,,,
"Industrias manufactureras (004)",340,4,54,234,2,46,
"Suministro de electricidad, gas y agua (005)",6,,6,,,,
"Construcción (006)",227,6,175,24,2,20,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",269,17,4,213,1,34,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,3,4,10,,,
"Comercio al por mayor (009)",6,1,,5,,,
"Comercio al por menor (010)",246,13,,198,1,34,
"Hoteles y restaurantes (011)",65,4,12,44,,5,
"Trans., almac. y comunicaciones (012)",114,27,29,53,,5,
"Intermediación financiera (013)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (014)",38,22,4,11,,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",111,84,27,,,,
"Enseñanza (016)",471,424,,47,,,
"Servicios sociales y de salud (017)",49,43,,6,,,
"Otras activ. serv.comun.soc y personales (018)",46,23,3,18,,2,
"Hogares privados con servicio doméstico (019)",75,,,,,,75
"Actividad economica no especificada (021)",131,17,19,22,4,69,
"Hombres (022)",4604,412,1054,2344,18,772,4
"Agric., ganadería, caza y silvicultura (023)",3470,6,753,1990,12,709,
"Explotación de minas y canteras (025)",13,1,9,3,,,
"Industrias manufactureras (026)",177,3,48,106,2,18,
"Suministro de electricidad, gas y agua (027)",6,,6,,,,
"Construcción (028)",222,5,171,24,2,20,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",131,10,4,105,1,11,
"Venta, mant.y rep. veh.autom.y motoc. (030)",15,2,4,9,,,
"Comercio al por mayor (031)",4,1,,3,,,
"Comercio al por menor (032)",112,7,,93,1,11,
"Hoteles y restaurantes (033)",13,3,2,7,,1,
"Trans., almac. y comunicaciones (034)",111,26,28,52,,5,
"Intermediación financiera (035)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (036)",25,13,2,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",91,69,22,,,,
"Enseñanza (038)",249,227,,22,,,
"Servicios sociales y de salud (039)",30,24,,6,,,
"Otras activ. serv.comun.soc y personales (040)",31,20,2,9,,,
"Hogares privados con servicio doméstico (041)",4,,,,,,4
"Actividad economica no especificada (043)",30,4,7,10,1,8,
"Mujeres (044)",1319,267,115,488,6,372,71
"Agric., ganadería, caza y silvicultura (045)",497,,74,167,3,253,
"Industrias manufactureras (048)",163,1,6,128,,28,
"Construcción (050)",5,1,4,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",138,7,,108,,23,
"Venta, mant.y rep. veh.autom.y motoc. (052)",2,1,,1,,,
"Comercio al por mayor (053)",2,,,2,,,
"Comercio al por menor (054)",134,6,,105,,23,
"Hoteles y restaurantes (055)",52,1,10,37,,4,
"Trans., almac. y comunicaciones (056)",3,1,1,1,,,
"Activid.inmobil., empres. y alquileres (058)",13,9,2,1,,1,
"Admin.pub. y defensa; p. segur.soc.afil (059)",20,15,5,,,,
"Enseñanza (060)",222,197,,25,,,
"Servicios sociales y de salud (061)",19,19,,,,,
"Otras activ. serv.comun.soc y personales (062)",15,3,1,9,,2,
"Hogares privados con servicio doméstico (063)",71,,,,,,71
"Actividad economica no especificada (065)",101,13,12,12,3,61,
,,,,,,,
"URBANA (066)",1184,447,228,399,8,77,25
"Agric., ganadería, caza y silvicultura (067)",243,1,105,102,6,29,
"Explotación de minas y canteras (069)",3,,3,,,,
"Industrias manufactureras (070)",78,1,17,51,2,7,
"Suministro de electricidad, gas y agua (071)",1,,1,,,,
"Construcción (072)",67,1,60,4,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",177,12,3,135,,27,
"Venta, mant.y rep. veh.autom.y motoc. (074)",13,3,3,7,,,
"Comercio al por mayor (075)",2,1,,1,,,
"Comercio al por menor (076)",162,8,,127,,27,
"Hoteles y restaurantes (077)",43,3,2,37,,1,
"Trans., almac. y comunicaciones (078)",41,11,9,21,,,
"Intermediación financiera (079)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (080)",29,14,4,10,,1,
"Admin.pub. y defensa; p. segur.soc.afil (081)",78,63,15,,,,
"Enseñanza (082)",303,284,,19,,,
"Servicios sociales y de salud (083)",33,30,,3,,,
"Otras activ. serv.comun.soc y personales (084)",33,15,2,14,,2,
"Hogares privados con servicio doméstico (085)",25,,,,,,25
"Actividad economica no especificada (087)",29,11,7,3,,8,
"Hombres (088)",748,251,199,249,7,42,
"Agric., ganadería, caza y silvicultura (089)",209,1,91,89,5,23,
"Explotación de minas y canteras (091)",3,,3,,,,
"Industrias manufactureras (092)",63,1,17,38,2,5,
"Suministro de electricidad, gas y agua (093)",1,,1,,,,
"Construcción (094)",65,1,58,4,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",83,7,3,65,,8,
"Venta, mant.y rep. veh.autom.y motoc. (096)",11,2,3,6,,,
"Comercio al por mayor (097)",2,1,,1,,,
"Comercio al por menor (098)",70,4,,58,,8,
"Hoteles y restaurantes (099)",8,2,1,5,,,
"Trans., almac. y comunicaciones (100)",39,11,8,20,,,
"Intermediación financiera (101)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (102)",18,7,2,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",61,51,10,,,,
"Enseñanza (104)",141,134,,7,,,
"Servicios sociales y de salud (105)",22,19,,3,,,
"Otras activ. serv.comun.soc y personales (106)",22,13,1,8,,,
"Actividad economica no especificada (109)",12,3,4,1,,4,
"Mujeres (110)",436,196,29,150,1,35,25
"Agric., ganadería, caza y silvicultura (111)",34,,14,13,1,6,
"Industrias manufactureras (114)",15,,,13,,2,
"Construcción (116)",2,,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",94,5,,70,,19,
"Venta, mant.y rep. veh.autom.y motoc. (118)",2,1,,1,,,
"Comercio al por menor (120)",92,4,,69,,19,
"Hoteles y restaurantes (121)",35,1,1,32,,1,
"Trans., almac. y comunicaciones (122)",2,,1,1,,,
"Activid.inmobil., empres. y alquileres (124)",11,7,2,1,,1,
"Admin.pub. y defensa; p. segur.soc.afil (125)",17,12,5,,,,
"Enseñanza (126)",162,150,,12,,,
"Servicios sociales y de salud (127)",11,11,,,,,
"Otras activ. serv.comun.soc y personales (128)",11,2,1,6,,2,
"Hogares privados con servicio doméstico (129)",25,,,,,,25
"Actividad economica no especificada (131)",17,8,3,2,,4,
,,,,,,,
"RURAL (132)",4739,232,941,2433,16,1067,50
"Agric., ganadería, caza y silvicultura (133)",3724,5,722,2055,9,933,
"Explotación de minas y canteras (135)",10,1,6,3,,,
"Industrias manufactureras (136)",262,3,37,183,,39,
"Suministro de electricidad, gas y agua (137)",5,,5,,,,
"Construcción (138)",160,5,115,20,2,18,
