"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ISLAY (000)",13934,50252,12559,45952,1375,4300
"Casa independiente (001)",13111,47800,11990,44252,1121,3548
"Departamento en edificio (002)",178,556,178,556,,
"Vivienda en quinta (003)",62,223,62,223,,
"Vivienda en casa de vecindad (004)",111,322,111,322,,
"Choza o cabaña (005)",253,751,,,253,751
"Vivienda improvisada (006)",193,532,193,532,,
"Local no dest.para hab. humana (007)",24,57,23,56,1,1
"Otro tipo (008)",2,11,2,11,,
