"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANUCO (000)",102205,248837,223570,,4353,89.8,1.7
"De 12 a 14 años (001)",10185,45,45,,10,100,22.2
"De 15 a 19 años (002)",14799,1943,1906,581,98.1,29.9,
"De 20 a 24 años (003)",13351,9010,8802,1027,97.7,11.4,
"De 25 a 29 años (004)",10952,15482,14995,979,96.9,6.3,
"De 30 a 34 años (005)",9490,21344,20538,828,96.2,3.9,
"De 35 a 39 años (006)",8922,27990,26453,601,94.5,2.1,
"De 40 a 44 años (007)",7590,29523,27423,269,92.9,0.9,
"De 45 a 49 años (008)",6472,29651,26970,58,91,0.2,
"De 50 y más años (009)",20444,113849,96438,,84.7,,
"Sin nivel (010)",19099,96779,81356,698,84.1,0.7,
"De 12 a 14 años (011)",159,4,4,,100,,
"De 15 a 19 años (012)",566,178,175,42,98.3,23.6,
"De 20 a 24 años (013)",977,1204,1174,109,97.5,9.1,
"De 25 a 29 años (014)",1304,2839,2680,144,94.4,5.1,
"De 30 a 34 años (015)",1493,4737,4445,153,93.8,3.2,
"De 35 a 39 años (016)",1707,7535,6844,131,90.8,1.7,
"De 40 a 44 años (017)",1721,9401,8406,89,89.4,0.9,
"De 45 a 49 años (018)",1810,10902,9476,30,86.9,0.3,
"De 50 y más años (019)",9362,59979,48152,,80.3,,
"Educacion Inicial (020)",148,274,255,14,93.1,5.1,
"De 12 a 14 años (021)",18,,,,,,
"De 15 a 19 años (022)",22,4,4,1,100,25,
"De 20 a 24 años (023)",31,33,33,7,100,21.2,
"De 25 a 29 años (024)",28,66,60,1,90.9,1.5,
"De 30 a 34 años (025)",28,100,96,2,96,2,
"De 35 a 39 años (026)",21,71,62,3,87.3,4.2,
"Primaria (030)",29806,85050,77547,1472,91.2,1.7,
"De 12 a 14 años (031)",5204,27,27,7,100,25.9,
"De 15 a 19 años (032)",3096,796,787,226,98.9,28.4,
"De 20 a 24 años (033)",2872,3339,3239,348,97,10.4,
"De 25 a 29 años (034)",2816,5867,5657,307,96.4,5.2,
"De 30 a 34 años (035)",2770,8129,7763,275,95.5,3.4,
"De 35 a 39 años (036)",2700,10451,9830,188,94.1,1.8,
"De 40 a 44 años (037)",2255,10444,9674,98,92.6,0.9,
