"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASCOPE (000)",37960,23660,4139,4269,5892
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",71,,11,22,38
"Profes., científicos e intelectuales (002)",2598,676,514,883,525
"Técnicos de nivel medio y trab. asimilados (003)",1714,890,188,206,430
"Jefes y empleados de oficina (004)",1580,318,187,259,816
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5622,4784,348,185,305
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3165,2725,320,62,58
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3583,1893,349,382,959
"Obreros construc.,conf.,papel, fab., instr. (008)",4892,3536,513,363,480
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13943,8353,1642,1855,2093
"Otra (010)",127,,,,127
"Ocupación no especificada (011)",665,485,67,52,61
"Hombres (012)",27855,16370,3280,3350,4855
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",48,,7,15,26
"Profes., científicos e intelectuales (014)",1255,336,228,392,299
"Técnicos de nivel medio y trab. asimilados (015)",1163,611,128,152,272
"Jefes y empleados de oficina (016)",793,120,84,159,430
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2331,1709,192,152,278
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3019,2595,305,61,58
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3241,1608,331,369,933
"Obreros construc.,conf.,papel, fab., instr. (020)",4803,3476,507,353,467
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",10772,5739,1452,1658,1923
"Otra (022)",124,,,,124
"Ocupación no especificada (023)",306,176,46,39,45
"Mujeres (024)",10105,7290,859,919,1037
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",23,,4,7,12
"Profes., científicos e intelectuales (026)",1343,340,286,491,226
"Técnicos de nivel medio y trab. asimilados (027)",551,279,60,54,158
"Jefes y empleados de oficina (028)",787,198,103,100,386
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3291,3075,156,33,27
"Agricult.trabaj.calif.agrop.y pesqueros (030)",146,130,15,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",342,285,18,13,26
"Obreros construc.,conf.,papel, fab., instr. (032)",89,60,6,10,13
