"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARAÑON (000)",6180,5509,171,82,418
"Agric., ganadería, caza y silvicultura (001)",4842,4765,67,2,8
"Pesca (002)",1,1,,,
"Industrias manufactureras (004)",55,47,7,,1
"Suministro de electricidad, gas y agua (005)",9,1,1,2,5
"Construcción (006)",84,51,15,6,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",172,166,4,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",5,4,1,,
"Comercio al por mayor (009)",9,8,,1,
"Comercio al por menor (010)",158,154,3,1,
"Hoteles y restaurantes (011)",38,34,4,,
"Trans., almac. y comunicaciones (012)",37,30,5,1,1
"Intermediación financiera (013)",2,,,,2
"Activid.inmobil., empres. y alquileres (014)",31,13,3,12,3
"Admin.pub. y defensa; p. segur soc.afil (015)",117,,,,117
"Enseñanza (016)",409,99,55,51,204
"Servicios sociales y de salud (017)",67,9,,,58
"Otras activ. serv.comun.soc y personales (018)",9,6,3,,
"Hogares privados con servicio doméstico (019)",87,87,,,
"Actividad economica no especificada (021)",220,200,7,6,7
"Hombres (022)",5300,4819,142,63,276
"Agric., ganadería, caza y silvicultura (023)",4428,4359,63,2,4
"Pesca (024)",1,1,,,
"Industrias manufactureras (026)",51,44,7,,
"Suministro de electricidad, gas y agua (027)",9,1,1,2,5
"Construcción (028)",84,51,15,6,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",108,103,3,2,
"Venta, mant.y rep. veh.autom y motoc. (030)",4,3,1,,
"Comercio al por mayor (031)",6,5,,1,
"Comercio al por menor (032)",98,95,2,1,
"Hoteles y restaurantes (033)",10,9,1,,
"Trans., almac. y comunicaciones (034)",36,29,5,1,1
"Intermediación financiera (035)",2,,,,2
"Activid.inmobil., empres. y alquileres (036)",28,12,3,10,3
"Admin.pub. y defensa; p. segur soc.afil (037)",94,,,,94
"Enseñanza (038)",241,50,37,35,119
"Servicios sociales y de salud (039)",36,5,,,31
"Otras activ. serv.comun.soc y personales (040)",6,3,3,,
"Hogares privados con servicio doméstico (041)",38,38,,,
"Actividad economica no especificada (043)",128,114,4,5,5
"Mujeres (044)",880,690,29,19,142
"Agric., ganadería, caza y silvicultura (045)",414,406,4,,4
"Industrias manufactureras (048)",4,3,,,1
