"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ZARUMILLA (000)",10243,39616,9281,35909,962,3707
"Casa independiente (001)",9853,38457,8901,34775,952,3682
"Departamento en edificio (002)",70,203,70,203,,
"Vivienda en quinta (003)",188,519,188,519,,
"Vivienda en casa de vecindad (004)",32,110,32,110,,
"Choza o cabaña (005)",8,18,,,8,18
"Vivienda improvisada (006)",39,136,39,136,,
"Local no dest.para hab. humana (007)",28,102,26,95,2,7
"Otro tipo (008)",25,71,25,71,,
