"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CASTILLA (000)",10664,37147,6170,21329,4494,15818
"Casa independiente (001)",9836,34506,5649,19700,4187,14806
"Departamento en edificio (002)",27,99,27,99,,
"Vivienda en quinta (003)",64,204,64,204,,
"Vivienda en casa de vecindad (004)",391,1191,391,1191,,
"Choza o cabaña (005)",285,926,,,285,926
"Vivienda improvisada (006)",17,60,17,60,,
"Local no dest.para hab. humana (007)",39,145,19,63,20,82
"Otro tipo (008)",5,16,3,12,2,4
