"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAUYOS (000)",7147,6872,55,1071,1159,1094,1724,1123,519,127,275,27261
"De 12 a 14 años (001)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (002)",136,127,2,107,17,1,,,,,9,144
"De 20 a 24 años (003)",503,438,5,255,134,34,10,,,,65,666
"De 25 a 29 años (004)",674,604,1,198,219,117,59,9,1,,70,1306
"De 30 a 34 años (005)",740,699,1,123,184,187,167,33,4,,41,2012
"De 35 a 39 años (006)",742,713,6,91,145,145,219,85,21,1,29,2497
"De 40 a 44 años (007)",680,659,3,56,97,128,208,111,47,9,21,2774
"De 45 a 49 años (008)",582,573,5,37,64,100,168,123,58,18,9,2714
"De 50 y más años (009)",3086,3056,32,202,298,382,893,762,388,99,30,15144
"Conviviente (010)",2127,2090,14,435,451,381,460,236,97,16,37,6989
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",75,70,2,55,12,1,,,,,5,82
"De 20 a 24 años (013)",297,284,,155,96,26,7,,,,13,453
"De 25 a 29 años (014)",366,358,1,96,132,84,40,5,,,8,814
"De 30 a 34 años (015)",354,350,,51,76,116,86,19,2,,4,1054
"De 35 a 39 años (016)",309,306,3,27,62,55,108,39,11,1,3,1136
"De 40 a 44 años (017)",230,228,1,17,25,44,68,48,22,3,2,1018
"De 45 a 49 años (018)",163,163,2,10,17,23,50,40,16,5,,788
"De 50 y más años (019)",331,330,5,23,31,32,101,85,46,7,1,1643
"Separado(a) (020)",350,345,4,82,73,51,70,43,17,5,5,1169
"De 15 a 19 años (022)",10,9,,8,1,,,,,,1,10
"De 20 a 24 años (023)",31,30,,17,13,,,,,,1,43
"De 25 a 29 años (024)",32,32,,11,14,5,2,,,,,64
