"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Educación inicial (032)",1,,,1,,
"Primaria (033)",127,1,32,44,43,7
"Secundaria (034)",271,1,169,71,26,4
"Superior no univ. incompleta (035)",42,,26,8,7,1
"Superior no univ. completa (036)",93,,51,32,9,1
"Superior univ. incompleta (037)",30,,10,12,7,1
"Superior univ. completa (038)",63,,33,19,10,1
"No PEA (040)",17180,6310,4737,2190,2103,1840
"Sin nivel (041)",2297,151,114,343,670,1019
"Educación inicial (042)",412,404,6,2,,
"Primaria (043)",7205,4453,610,719,828,595
"Secundaria (044)",5164,1302,2672,680,401,109
"Superior no univ. incompleta (045)",662,,549,72,25,16
"Superior no univ. completa (046)",481,,213,165,65,38
"Superior univ. incompleta (047)",531,,433,55,30,13
"Superior univ. completa (048)",428,,140,154,84,50
,,,,,,
"URBANA (060)",19139,4570,5465,3936,3315,1853
"Sin nivel (061)",1932,73,91,322,601,845
"Educación inicial (062)",314,305,6,3,,
"Primaria (063)",6343,3143,453,851,1177,719
"Secundaria (064)",6244,1049,2869,1363,821,142
"Superior no univ. incompleta (065)",967,,665,192,88,22
"Superior no univ. completa (066)",1214,,515,461,193,45
"Superior univ. incompleta (067)",759,,492,146,102,19
"Superior univ. completa (068)",1366,,374,598,333,61
"PEA (070)",6514,53,1903,2346,1796,416
"Sin nivel (071)",446,,25,115,184,122
"Educación inicial (072)",5,1,2,2,,
"Primaria (073)",1430,30,169,430,587,214
"Secundaria (074)",2195,22,837,807,488,41
"Superior no univ. incompleta (075)",390,,185,128,69,8
"Superior no univ. completa (076)",779,,324,308,137,10
"Superior univ. incompleta (077)",282,,106,96,73,7
"Superior univ. completa (078)",987,,255,460,258,14
"Ocupada (080)",5942,51,1627,2173,1690,401
"Sin nivel (081)",412,,17,104,172,119
"Educación inicial (082)",4,1,2,1,,
"Primaria (083)",1329,29,148,395,549,208
"Secundaria (084)",1957,21,695,739,464,38
"Superior no univ. incompleta (085)",356,,163,123,63,7
"Superior no univ. completa (086)",696,,278,280,128,10
"Superior univ. incompleta (087)",258,,97,89,66,6
"Superior univ. completa (088)",930,,227,442,248,13
"Desocupada (090)",572,2,276,173,106,15
"Sin nivel (091)",34,,8,11,12,3
"Educación inicial (092)",1,,,1,,
"Primaria (093)",101,1,21,35,38,6
"Secundaria (094)",238,1,142,68,24,3
"Superior no univ. incompleta (095)",34,,22,5,6,1
"Superior no univ. completa (096)",83,,46,28,9,
"Superior univ. incompleta (097)",24,,9,7,7,1
"Superior univ. completa (098)",57,,28,18,10,1
"No PEA (100)",12625,4517,3562,1590,1519,1437
"Sin nivel (101)",1486,73,66,207,417,723
"Educación inicial (102)",309,304,4,1,,
"Primaria (103)",4913,3113,284,421,590,505
"Secundaria (104)",4049,1027,2032,556,333,101
"Superior no univ. incompleta (105)",577,,480,64,19,14
"Superior no univ. completa (106)",435,,191,153,56,35
"Superior univ. incompleta (107)",477,,386,50,29,12
"Superior univ. completa (108)",379,,119,138,75,47
,,,,,,
"RURAL (120)",7948,1823,2056,1517,1583,969
"Sin nivel (121)",1358,82,71,229,437,539
"Educación inicial (122)",103,100,2,1,,
"Primaria (123)",3796,1357,638,686,749,366
"Secundaria (124)",2056,284,1066,402,276,28
"Superior no univ. incompleta (125)",168,,104,39,19,6
"Superior no univ. completa (126)",150,,55,56,31,8
"Superior univ. incompleta (127)",96,,62,22,11,1
"Superior univ. completa (128)",221,,58,82,60,21
"PEA (130)",3393,30,881,917,999,566
"Sin nivel (131)",547,4,23,93,184,243
"Primaria (133)",1504,17,312,388,511,276
"Secundaria (134)",941,9,426,278,208,20
"Superior no univ. incompleta (135)",83,,35,31,13,4
"Superior no univ. completa (136)",104,,33,44,22,5
"Superior univ. incompleta (137)",42,,15,17,10,
"Superior univ. completa (138)",172,,37,66,51,18
"Ocupada (140)",3302,30,828,891,990,563
"Sin nivel (141)",545,4,23,92,183,243
"Primaria (143)",1478,17,301,379,506,275
"Secundaria (144)",908,9,399,275,206,19
"Superior no univ. incompleta (145)",75,,31,28,12,4
"Superior no univ. completa (146)",94,,28,40,22,4
"Superior univ. incompleta (147)",36,,14,12,10,
"Superior univ. completa (148)",166,,32,65,51,18
"Desocupada (150)",91,,53,26,9,3
"Sin nivel (151)",2,,,1,1,
"Primaria (153)",26,,11,9,5,1
"Secundaria (154)",33,,27,3,2,1
"Superior no univ. incompleta (155)",8,,4,3,1,
"Superior no univ. completa (156)",10,,5,4,,1
"Superior univ. incompleta (157)",6,,1,5,,
"Superior univ. completa (158)",6,,5,1,,
"No PEA (160)",4555,1793,1175,600,584,403
"Sin nivel (161)",811,78,48,136,253,296
"Educación inicial (162)",103,100,2,1,,
"Primaria (163)",2292,1340,326,298,238,90
"Secundaria (164)",1115,275,640,124,68,8
"Superior no univ. incompleta (165)",85,,69,8,6,2
"Superior no univ. completa (166)",46,,22,12,9,3
"Superior univ. incompleta (167)",54,,47,5,1,1
"Superior univ. completa (168)",49,,21,16,9,3
