"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YUNGUYO (000)",42545,9432,11367,8615,8440,4691
"Sin nivel (001)",6393,114,123,583,2676,2897
"Educación inicial (002)",650,617,16,17,,
"Primaria (003)",17394,6689,1638,3477,4058,1532
"Secundaria (004)",14297,2012,7606,3293,1187,199
"Superior no univ. incompleta (005)",1009,,735,205,65,4
"Superior no univ. completa (006)",986,,415,399,149,23
"Superior univ. incompleta (007)",766,,537,165,59,5
"Superior univ. completa (008)",1050,,297,476,246,31
"PEA (010)",20174,247,5351,6174,5930,2472
"Sin nivel (011)",3274,4,61,302,1580,1327
"Educación inicial (012)",18,5,6,7,,
"Primaria (013)",7451,145,965,2336,3012,993
"Secundaria (014)",7179,93,3525,2527,914,120
"Superior no univ. incompleta (015)",438,,222,161,53,2
"Superior no univ. completa (016)",722,,260,337,117,8
"Superior univ. incompleta (017)",284,,116,118,45,5
"Superior univ. completa (018)",808,,196,386,209,17
"Ocupada (020)",19018,229,4710,5845,5789,2445
"Sin nivel (021)",3222,2,55,282,1563,1320
"Educación inicial (022)",17,5,5,7,,
"Primaria (023)",7169,136,888,2236,2928,981
"Secundaria (024)",6516,86,3058,2379,881,112
"Superior no univ. incompleta (025)",393,,189,150,52,2
"Superior no univ. completa (026)",671,,232,316,115,8
"Superior univ. incompleta (027)",264,,102,112,45,5
"Superior univ. completa (028)",766,,181,363,205,17
"Desocupada (030)",1156,18,641,329,141,27
