"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTA (000)",156601,148825,45613,24722,24731,17867,19593,9156,4524,2619,7776,339900
"De 12 a 14 años (001)",12292,12227,12173,46,8,,,,,,65,62
"De 15 a 19 años (002)",19406,19084,17108,1763,177,29,7,,,,322,2232
"De 20 a 24 años (003)",17642,15370,7729,5565,1702,309,53,12,,,2272,10195
"De 25 a 29 años (004)",16772,14572,3210,5683,3951,1302,381,39,6,,2200,19375
"De 30 a 34 años (005)",15626,14613,1782,4050,4914,2469,1231,142,19,6,1013,27628
"De 35 a 39 años (006)",15106,14455,1096,2608,4636,3292,2368,370,75,10,651,35004
"De 40 a 44 años (007)",13298,12875,795,1679,3445,3065,2863,793,197,38,423,37297
"De 45 a 49 años (008)",10811,10543,499,1124,2204,2364,2811,1084,364,93,268,35869
"De 50 y más años (009)",35648,35086,1221,2204,3694,5037,9879,6716,3863,2472,562,172238
"Sin nivel (010)",12421,12142,860,757,1211,1255,2804,2391,1655,1209,279,62561
"De 12 a 14 años (011)",127,127,124,2,1,,,,,,,4
"De 15 a 19 años (012)",274,266,223,37,4,2,,,,,8,51
"De 20 a 24 años (013)",254,215,87,61,42,19,4,2,,,39,232
"De 25 a 29 años (014)",259,225,35,59,73,37,18,3,,,34,410
"De 30 a 34 años (015)",721,686,47,115,199,175,119,24,6,1,35,1763
"De 35 a 39 años (016)",784,763,54,70,191,158,211,59,16,4,21,2393
"De 40 a 44 años (017)",822,797,50,59,135,154,237,109,43,10,25,2996
"De 45 a 49 años (018)",904,894,44,54,110,114,270,171,102,29,10,4086
"De 50 y más años (019)",8276,8169,196,300,456,596,1945,2023,1488,1165,107,50626
"Educacion Inicial (020)",218,201,111,37,26,12,11,3,,1,17,198
