"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PALPA (000)",12121,448,1032,1340,1302,2079,1754,2983,1183
"Sabe leer y escribir (001)",10941,,847,1331,1292,2055,1718,2766,932
"No sabe leer y escribir (002)",1180,448,185,9,10,24,36,217,251
"Hombres (004)",6204,227,537,687,683,1034,875,1517,644
"Sabe leer y escribir (005)",5708,,428,680,676,1025,860,1472,567
"No sabe leer y escribir (006)",496,227,109,7,7,9,15,45,77
"Mujeres (008)",5917,221,495,653,619,1045,879,1466,539
"Sabe leer y escribir (009)",5233,,419,651,616,1030,858,1294,365
"No sabe leer y escribir (010)",684,221,76,2,3,15,21,172,174
,,,,,,,,,
"URBANA (012)",7984,310,687,934,852,1363,1164,1943,731
"Sabe leer y escribir (013)",7249,,568,925,846,1349,1141,1809,611
"No sabe leer y escribir (014)",735,310,119,9,6,14,23,134,120
"Hombres (016)",3979,153,356,486,436,643,568,943,394
"Sabe leer y escribir (017)",3674,,284,479,432,638,559,922,360
"No sabe leer y escribir (018)",305,153,72,7,4,5,9,21,34
"Mujeres (020)",4005,157,331,448,416,720,596,1000,337
"Sabe leer y escribir (021)",3575,,284,446,414,711,582,887,251
"No sabe leer y escribir (022)",430,157,47,2,2,9,14,113,86
,,,,,,,,,
"RURAL (024)",4137,138,345,406,450,716,590,1040,452
"Sabe leer y escribir (025)",3692,,279,406,446,706,577,957,321
"No sabe leer y escribir (026)",445,138,66,,4,10,13,83,131
"Hombres (028)",2225,74,181,201,247,391,307,574,250
"Sabe leer y escribir (029)",2034,,144,201,244,387,301,550,207
"No sabe leer y escribir (030)",191,74,37,,3,4,6,24,43
"Mujeres (032)",1912,64,164,205,203,325,283,466,202
"Sabe leer y escribir (033)",1658,,135,205,202,319,276,407,114
"No sabe leer y escribir (034)",254,64,29,,1,6,7,59,88
