"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUCANAS (000)",23265,3474,4487,11975,194,2864,271
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",69,69,,,,,
"Profes., científicos e intelectuales (002)",2150,1927,,206,10,7,
"Técnicos de nivel medio y trab. asimilados (003)",508,320,,167,16,5,
"Jefes y empleados de oficina (004)",422,416,,4,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2246,229,17,1731,26,243,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",7141,1,6,7024,110,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2409,,925,1445,15,24,
"Obreros construc.,conf., papel, fab., instr. (008)",931,122,309,478,10,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",6594,210,3041,593,2,2477,271
"Otra (010)",59,59,,,,,
"Ocupación no especificada (011)",736,121,189,327,5,94,
"Hombres (012)",15883,1953,3779,8667,144,1309,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",52,52,,,,,
"Profes., científicos e intelectuales (014)",1108,988,,107,10,3,
"Técnicos de nivel medio y trab. asimilados (015)",342,192,,133,13,4,
"Jefes y empleados de oficina (016)",258,256,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",794,99,7,642,11,35,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",5757,,5,5664,88,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2179,,849,1302,11,17,
"Obreros construc.,conf., papel, fab., instr. (020)",914,122,304,468,8,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",4035,121,2471,210,1,1201,31
"Otra (022)",59,59,,,,,
"Ocupación no especificada (023)",385,64,143,140,2,36,
"Mujeres (024)",7382,1521,708,3308,50,1555,240
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,17,,,,,
"Profes., científicos e intelectuales (026)",1042,939,,99,,4,
"Técnicos de nivel medio y trab. asimilados (027)",166,128,,34,3,1,
"Jefes y empleados de oficina (028)",164,160,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1452,130,10,1089,15,208,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1384,1,1,1360,22,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",230,,76,143,4,7,
"Obreros construc.,conf., papel, fab., instr. (032)",17,,5,10,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2559,89,570,383,1,1276,240
"Ocupación no especificada (035)",351,57,46,187,3,58,
,,,,,,,
"URBANA (036)",13728,2942,2064,6845,124,1533,220
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",64,64,,,,,
"Profes., científicos e intelectuales (038)",1800,1630,,155,8,7,
"Técnicos de nivel medio y trab. asimilados (039)",406,255,,137,9,5,
"Jefes y empleados de oficina (040)",370,364,,4,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1816,182,7,1411,19,197,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3553,,2,3487,64,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",822,,252,544,11,15,
"Obreros construc.,conf., papel, fab., instr. (044)",751,101,221,413,6,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",3655,191,1481,522,2,1239,220
"Otra (046)",59,59,,,,,
"Ocupación no especificada (047)",432,96,101,172,5,58,
"Hombres (048)",8612,1677,1670,4571,91,588,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",49,49,,,,,
"Profes., científicos e intelectuales (050)",955,859,,85,8,3,
"Técnicos de nivel medio y trab. asimilados (051)",267,147,,110,6,4,
"Jefes y empleados de oficina (052)",218,216,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",643,83,3,519,11,27,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2766,,2,2713,51,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",702,,199,485,7,11,
"Obreros construc.,conf., papel, fab., instr. (056)",737,101,217,404,5,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1995,108,1172,181,1,518,15
"Otra (058)",59,59,,,,,
"Ocupación no especificada (059)",221,55,77,73,2,14,
"Mujeres (060)",5116,1265,394,2274,33,945,205
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",15,15,,,,,
"Profes., científicos e intelectuales (062)",845,771,,70,,4,
"Técnicos de nivel medio y trab. asimilados (063)",139,108,,27,3,1,
"Jefes y empleados de oficina (064)",152,148,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1173,99,4,892,8,170,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",787,,,774,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",120,,53,59,4,4,
"Obreros construc.,conf., papel, fab., instr. (068)",14,,4,9,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1660,83,309,341,1,721,205
"Ocupación no especificada (071)",211,41,24,99,3,44,
,,,,,,,
"RURAL (072)",9537,532,2423,5130,70,1331,51
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",5,5,,,,,
"Profes., científicos e intelectuales (074)",350,297,,51,2,,
"Técnicos de nivel medio y trab. asimilados (075)",102,65,,30,7,,
"Jefes y empleados de oficina (076)",52,52,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",430,47,10,320,7,46,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3588,1,4,3537,46,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",1587,,673,901,4,9,
"Obreros construc.,conf., papel, fab., instr. (080)",180,21,88,65,4,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2939,19,1560,71,,1238,51
"Ocupación no especificada (083)",304,25,88,155,,36,
"Hombres (084)",7271,276,2109,4096,53,721,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",153,129,,22,2,,
"Técnicos de nivel medio y trab. asimilados (087)",75,45,,23,7,,
"Jefes y empleados de oficina (088)",40,40,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",151,16,4,123,,8,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2991,,3,2951,37,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",1477,,650,817,4,6,
"Obreros construc.,conf., papel, fab., instr. (092)",177,21,87,64,3,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2040,13,1299,29,,683,16
"Ocupación no especificada (095)",164,9,66,67,,22,
"Mujeres (096)",2266,256,314,1034,17,610,35
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",197,168,,29,,,
"Técnicos de nivel medio y trab. asimilados (099)",27,20,,7,,,
