"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LEONCIO PRADO (000)",40962,39502,11611,6319,5998,4497,5604,2960,1552,961,1460,99321
"De 12 a 14 años (001)",4080,4050,4024,26,,,,,,,30,26
"De 15 a 19 años (002)",5982,5839,4692,985,141,13,8,,,,143,1338
"De 20 a 24 años (003)",5337,4783,1632,2009,873,218,46,5,,,554,4635
"De 25 a 29 años (004)",4711,4314,538,1407,1356,644,338,26,5,,397,7686
"De 30 a 34 años (005)",4021,3890,240,766,1139,846,725,144,25,5,131,9892
"De 35 a 39 años (006)",3985,3913,139,427,930,879,1033,394,91,20,72,12938
"De 40 a 44 años (007)",3344,3307,100,226,604,689,988,445,194,61,37,13002
"De 45 a 49 años (008)",2747,2719,62,157,398,509,806,479,212,96,28,11957
"De 50 y más años (009)",6755,6687,184,316,557,699,1660,1467,1025,779,68,37847
"Conviviente (010)",14559,14238,1116,3658,3259,2128,2459,1027,397,194,321,39380
"De 12 a 14 años (011)",59,34,22,12,,,,,,,25,12
"De 15 a 19 años (012)",1313,1185,388,675,108,9,5,,,,128,938
"De 20 a 24 años (013)",2623,2549,318,1379,665,152,33,2,,,74,3317
"De 25 a 29 años (014)",2710,2662,170,843,948,449,232,16,4,,48,5196
"De 30 a 34 años (015)",2187,2161,65,378,656,519,442,86,13,2,26,5834
"De 35 a 39 años (016)",1941,1935,39,174,448,435,573,219,38,9,6,6687
"De 40 a 44 años (017)",1416,1411,41,89,212,270,486,206,83,24,5,5748
"De 45 a 49 años (018)",1000,997,24,43,115,156,329,213,84,33,3,4637
"De 50 y más años (019)",1310,1304,49,65,107,138,359,285,175,126,6,7011
"Separado(a) (020)",2284,2246,38,587,493,334,429,222,88,55,38,7245
"De 12 a 14 años (021)",9,5,3,2,,,,,,,4,2
