"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LORETO (000)",18412,59601,53183,,1853,89.2,3.1
"De 12 a 14 años (001)",2441,23,23,,6,100,26.1
"De 15 a 19 años (002)",3196,1318,1286,340,97.6,25.8,
"De 20 a 24 años (003)",2561,4163,3993,479,95.9,11.5,
"De 25 a 29 años (004)",2063,5409,5174,395,95.7,7.3,
"De 30 a 34 años (005)",1706,6443,6075,306,94.3,4.7,
"De 35 a 39 años (006)",1607,7879,7297,224,92.6,2.8,
"De 40 a 44 años (007)",1248,7305,6587,85,90.2,1.2,
"De 45 a 49 años (008)",994,6816,6107,18,89.6,0.3,
"De 50 y más años (009)",2596,20245,16641,,82.2,,
"PEA (010)",4399,17750,15839,309,89.2,1.7,
"De 12 a 14 años (011)",97,1,1,1,100,100,
"De 15 a 19 años (012)",417,157,153,24,97.5,15.3,
"De 20 a 24 años (013)",539,743,713,55,96,7.4,
"De 25 a 29 años (014)",551,1196,1151,74,96.2,6.2,
"De 30 a 34 años (015)",564,1803,1702,76,94.4,4.2,
"De 35 a 39 años (016)",547,2357,2215,54,94,2.3,
"De 40 a 44 años (017)",454,2420,2227,19,92,0.8,
"De 45 a 49 años (018)",400,2552,2296,6,90,0.2,
"De 50 y más años (019)",830,6521,5381,,82.5,,
"Ocupada (020)",4148,17304,15414,292,89.1,1.7,
"De 12 a 14 años (021)",79,1,1,1,100,100,
"De 15 a 19 años (022)",345,138,134,22,97.1,15.9,
"De 20 a 24 años (023)",485,701,673,50,96,7.1,
"De 25 a 29 años (024)",512,1122,1082,68,96.4,6.1,
"De 30 a 34 años (025)",550,1758,1659,73,94.4,4.2,
"De 35 a 39 años (026)",536,2314,2172,53,93.9,2.3,
"De 40 a 44 años (027)",444,2384,2191,19,91.9,0.8,
"De 45 a 49 años (028)",383,2470,2221,6,89.9,0.2,
"De 50 y más años (029)",814,6416,5281,,82.3,,
"Desocupada (030)",251,446,425,17,95.3,3.8,
"De 12 a 14 años (031)",18,,,,,,
"De 15 a 19 años (032)",72,19,19,2,100,10.5,
"De 20 a 24 años (033)",54,42,40,5,95.2,11.9,
"De 25 a 29 años (034)",39,74,69,6,93.2,8.1,
"De 30 a 34 años (035)",14,45,43,3,95.6,6.7,
"De 35 a 39 años (036)",11,43,43,1,100,2.3,
