"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DATEM DEL MARAÑON (000)",9251,2735,6516
"Casa independiente (001)",8493,2627,5866
"Vivienda en quinta (003)",67,67,
"Vivienda en casa de vecindad (004)",21,21,
"Choza o cabaña (005)",639,,639
"Vivienda improvisada (006)",17,17,
"Local no dest.para hab. humana (007)",7,3,4
"Otro tipo (008)",7,,7
