"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOYOBAMBA (000)",29902,17695,12207
"Casa independiente (001)",26985,15986,10999
"Departamento en edificio (002)",116,116,
"Vivienda en quinta (003)",1229,1229,
"Vivienda en casa de vecindad (004)",196,196,
"Choza o cabaña (005)",1202,,1202
"Vivienda improvisada (006)",146,146,
"Local no dest.para hab. humana (007)",22,17,5
"Otro tipo (008)",6,5,1
