"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia PACASMAYO (000)",31286,53,2448,1224,1118,4277,2389,2491,3999,12070,199,1018
"Agric., ganadería, caza y silvicultura (001)",9922,,36,59,25,,2331,4,60,7407,,
"Pesca (002)",297,,2,1,3,,58,,2,231,,
"Explotación de minas y canteras (003)",62,,7,7,3,,,29,6,10,,
"Industrias manufactureras (004)",2398,1,57,135,76,52,,1656,272,149,,
"Suministro de electricidad, gas y agua (005)",62,,2,10,9,,,10,12,19,,
"Construcción (006)",2075,,44,62,10,,,130,1145,684,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5314,3,55,177,68,3208,,621,60,1122,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",714,,16,42,17,96,,478,41,24,,
"Comercio al por mayor (009)",252,1,11,25,13,170,,3,4,25,,
"Comercio al por menor (010)",4348,2,28,110,38,2942,,140,15,1073,,
"Hoteles y restaurantes (011)",1118,,7,42,58,616,,2,2,391,,
"Trans., almac. y comunicaciones (012)",3034,1,15,63,109,2,,20,2362,462,,
"Intermediación financiera (013)",98,1,4,27,62,,,,1,3,,
"Activid.inmobil., empres. y alquileres (014)",1209,1,207,290,250,224,,11,43,183,,
