"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCANE (000)",22890,1925,1447,12871,105,6386,156
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",56,56,,,,,
"Profes., científicos e intelectuales (002)",1061,970,,83,2,6,
"Técnicos de nivel medio y trab. asimilados (003)",237,125,,107,4,1,
"Jefes y empleados de oficina (004)",300,298,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1559,130,1,1169,14,245,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",9596,,,9551,44,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",950,,171,648,11,120,
"Obreros construc.,conf., papel, fab., instr. (008)",753,41,245,423,19,25,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",7747,147,998,557,4,5885,156
"Otra (010)",109,109,,,,,
"Ocupación no especificada (011)",522,49,32,331,7,103,
"Hombres (012)",13303,1368,1052,8704,69,2090,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",48,48,,,,,
"Profes., científicos e intelectuales (014)",777,714,,58,,5,
"Técnicos de nivel medio y trab. asimilados (015)",167,75,,89,3,,
"Jefes y empleados de oficina (016)",219,217,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",613,71,1,479,5,57,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6912,,,6882,30,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",584,,147,360,9,68,
"Obreros construc.,conf., papel, fab., instr. (020)",732,40,240,410,19,23,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2935,74,642,295,1,1903,20
"Otra (022)",94,94,,,,,
"Ocupación no especificada (023)",222,35,22,129,2,34,
"Mujeres (024)",9587,557,395,4167,36,4296,136
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,8,,,,,
"Profes., científicos e intelectuales (026)",284,256,,25,2,1,
"Técnicos de nivel medio y trab. asimilados (027)",70,50,,18,1,1,
"Jefes y empleados de oficina (028)",81,81,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",946,59,,690,9,188,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",2684,,,2669,14,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",366,,24,288,2,52,
"Obreros construc.,conf., papel, fab., instr. (032)",21,1,5,13,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",4812,73,356,262,3,3982,136
"Otra (034)",15,15,,,,,
"Ocupación no especificada (035)",300,14,10,202,5,69,
,,,,,,,
"URBANA (036)",4665,1281,337,2368,52,567,60
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",22,22,,,,,
"Profes., científicos e intelectuales (038)",683,631,,46,2,4,
"Técnicos de nivel medio y trab. asimilados (039)",170,105,,61,3,1,
"Jefes y empleados de oficina (040)",176,174,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1074,80,1,792,12,189,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",658,,,651,7,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",301,,59,217,5,20,
"Obreros construc.,conf., papel, fab., instr. (044)",318,29,90,176,15,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",965,105,164,323,4,309,60
"Otra (046)",101,101,,,,,
"Ocupación no especificada (047)",197,34,23,100,4,36,
"Hombres (048)",2649,829,272,1317,32,188,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",20,20,,,,,
"Profes., científicos e intelectuales (050)",442,409,,30,,3,
"Técnicos de nivel medio y trab. asimilados (051)",111,62,,47,2,,
"Jefes y empleados de oficina (052)",114,112,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",367,39,1,281,3,43,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",441,,,436,5,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",220,,50,153,4,13,
"Obreros construc.,conf., papel, fab., instr. (056)",309,28,88,170,15,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",431,47,118,148,1,106,11
"Otra (058)",87,87,,,,,
"Ocupación no especificada (059)",107,25,15,50,2,15,
"Mujeres (060)",2016,452,65,1051,20,379,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",241,222,,16,2,1,
"Técnicos de nivel medio y trab. asimilados (063)",59,43,,14,1,1,
"Jefes y empleados de oficina (064)",62,62,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",707,41,,511,9,146,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",217,,,215,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",81,,9,64,1,7,
"Obreros construc.,conf., papel, fab., instr. (068)",9,1,2,6,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",534,58,46,175,3,203,49
"Otra (070)",14,14,,,,,
"Ocupación no especificada (071)",90,9,8,50,2,21,
,,,,,,,
"RURAL (072)",18225,644,1110,10503,53,5819,96
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",34,34,,,,,
"Profes., científicos e intelectuales (074)",378,339,,37,,2,
"Técnicos de nivel medio y trab. asimilados (075)",67,20,,46,1,,
"Jefes y empleados de oficina (076)",124,124,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",485,50,,377,2,56,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",8938,,,8900,37,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",649,,112,431,6,100,
"Obreros construc.,conf., papel, fab., instr. (080)",435,12,155,247,4,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",6782,42,834,234,,5576,96
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",325,15,9,231,3,67,
"Hombres (084)",10654,539,780,7387,37,1902,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",28,28,,,,,
"Profes., científicos e intelectuales (086)",335,305,,28,,2,
"Técnicos de nivel medio y trab. asimilados (087)",56,13,,42,1,,
"Jefes y empleados de oficina (088)",105,105,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",246,32,,198,2,14,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",6471,,,6446,25,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",364,,97,207,5,55,
"Obreros construc.,conf., papel, fab., instr. (092)",423,12,152,240,4,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2504,27,524,147,,1797,9
"Otra (094)",7,7,,,,,
"Ocupación no especificada (095)",115,10,7,79,,19,
"Mujeres (096)",7571,105,330,3116,16,3917,87
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",6,6,,,,,
"Profes., científicos e intelectuales (098)",43,34,,9,,,
"Técnicos de nivel medio y trab. asimilados (099)",11,7,,4,,,
