"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMALIES (000)",66022,18272,47750
"Casa independiente (001)",62887,17914,44973
"Departamento en edificio (002)",11,11,
"Vivienda en quinta (003)",99,99,
"Vivienda en casa de vecindad (004)",197,197,
"Choza o cabaña (005)",2764,,2764
"Vivienda improvisada (006)",41,41,
"Local no dest.para hab. humana (007)",20,10,10
"Otro tipo (008)",3,,3
