"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCANE (000)",27804,27133,8343,2731,2933,2718,4576,3282,1741,809,671,81779
"De 12 a 14 años (001)",2614,2602,2594,7,1,,,,,,12,9
"De 15 a 19 años (002)",3251,3204,2958,213,26,7,,,,,47,286
"De 20 a 24 años (003)",2379,2168,1063,700,311,73,20,1,,,211,1630
"De 25 a 29 años (004)",2127,1978,399,499,590,310,168,12,,,149,3398
"De 30 a 34 años (005)",1988,1934,205,312,527,430,380,74,6,,54,4843
"De 35 a 39 años (006)",2017,1963,154,206,328,419,559,236,51,10,54,6585
"De 40 a 44 años (007)",1994,1953,132,142,264,329,558,355,140,33,41,7940
"De 45 a 49 años (008)",1772,1743,121,115,167,253,456,392,172,67,29,7976
"De 50 y más años (009)",9662,9588,717,537,719,897,2435,2212,1372,699,74,49112
"Sin nivel (010)",7232,7148,631,419,533,666,1745,1629,990,535,84,36018
"De 12 a 14 años (011)",11,11,11,,,,,,,,,
"De 15 a 19 años (012)",20,20,17,,2,1,,,,,,7
"De 20 a 24 años (013)",37,34,19,5,4,3,3,,,,3,35
"De 25 a 29 años (014)",54,48,15,4,5,11,13,,,,6,101
"De 30 a 34 años (015)",73,67,13,8,10,12,15,7,2,,6,192
"De 35 a 39 años (016)",136,130,10,13,17,20,36,28,6,,6,497
"De 40 a 44 años (017)",240,232,27,18,18,25,58,47,30,9,8,1033
"De 45 a 49 años (018)",362,355,30,23,40,29,80,87,48,18,7,1719
"De 50 y más años (019)",6299,6251,489,348,437,565,1540,1460,904,508,48,32434
"Educacion Inicial (020)",24,24,11,3,,4,4,1,1,,,47
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"De 15 a 19 años (022)",3,3,2,,,1,,,,,,3
