"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CUSCO (000)",367791,5761,96964,113695,77883,53533,19955
"Hombres (001)",177553,2880,49124,54443,36497,25362,9247
"Mujeres (002)",190238,2881,47840,59252,41386,28171,10708
"Viviendas particulares (003)",357236,5649,96011,109774,75548,51119,19135
"Hombres (004)",172202,2823,48726,52459,35253,24117,8824
"Mujeres (005)",185034,2826,47285,57315,40295,27002,10311
"Viviendas colectivas (006)",8108,104,793,2779,1684,2013,735
"Hombres (007)",3889,54,318,1319,839,988,371
"Mujeres (008)",4219,50,475,1460,845,1025,364
"Otro tipo (009)",2447,8,160,1142,651,401,85
"Hombres (010)",1462,3,80,665,405,257,52
"Mujeres (011)",985,5,80,477,246,144,33
,,,,,,,
"URBANA (012)",351780,5471,91063,109923,74636,51545,19142
"Hombres (013)",169496,2725,46132,52488,34879,24364,8908
"Mujeres (014)",182284,2746,44931,57435,39757,27181,10234
"Viviendas particulares (015)",341229,5359,90111,106004,72301,49132,18322
"Hombres (016)",164147,2668,45735,50505,33635,23119,8485
"Mujeres (017)",177082,2691,44376,55499,38666,26013,9837
"Viviendas colectivas (018)",8108,104,793,2779,1684,2013,735
"Hombres (019)",3889,54,318,1319,839,988,371
"Mujeres (020)",4219,50,475,1460,845,1025,364
"Otro tipo (021)",2443,8,159,1140,651,400,85
"Hombres (022)",1460,3,79,664,405,257,52
"Mujeres (023)",983,5,80,476,246,143,33
,,,,,,,
"RURAL (024)",16011,290,5901,3772,3247,1988,813
"Hombres (025)",8057,155,2992,1955,1618,998,339
"Mujeres (026)",7954,135,2909,1817,1629,990,474
"Viviendas particulares (027)",16007,290,5900,3770,3247,1987,813
"Hombres (028)",8055,155,2991,1954,1618,998,339
"Mujeres (029)",7952,135,2909,1816,1629,989,474
"Otro tipo (033)",4,,1,2,,1,
"Hombres (034)",2,,1,1,,,
"Mujeres (035)",2,,,1,,1,
