"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LIMA (000)",3286770,1893131,347188,402689,643762
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",10875,1107,2600,3113,4055
"Profes., científicos e intelectuales (002)",424336,110353,55635,96175,162173
"Técnicos de nivel medio y trab. asimilados (003)",341707,141001,41648,58667,100391
"Jefes y empleados de oficina (004)",261233,53480,33903,57731,116119
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",636624,508499,55914,43284,28927
"Agricult.trabaj.calif.agrop.y pesqueros (006)",17465,14935,2037,317,176
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",419426,244804,61842,49916,62864
"Obreros construc.,conf.,papel, fab., instr. (008)",390257,275650,36508,35595,42504
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",624586,480489,43979,43169,56949
"Otra (010)",47790,,,,47790
"Ocupación no especificada (011)",112471,62813,13122,14722,21814
"Hombres (012)",1947635,1081252,220487,242764,403132
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",7156,765,1650,1944,2797
"Profes., científicos e intelectuales (014)",209926,62244,25029,39579,83074
"Técnicos de nivel medio y trab. asimilados (015)",194966,84236,24685,33712,52333
"Jefes y empleados de oficina (016)",125432,22097,15380,27743,60212
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",300930,220026,31108,27795,22001
"Agricult.trabaj.calif.agrop.y pesqueros (018)",14110,12046,1642,279,143
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",316917,189236,46920,36789,43972
"Obreros construc.,conf.,papel, fab., instr. (020)",366514,260486,33753,32886,39389
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",299317,194538,31383,31869,41527
"Otra (022)",42382,,,,42382
"Ocupación no especificada (023)",69985,35578,8937,10168,15302
"Mujeres (024)",1339135,811879,126701,159925,240630
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3719,342,950,1169,1258
"Profes., científicos e intelectuales (026)",214410,48109,30606,56596,79099
"Técnicos de nivel medio y trab. asimilados (027)",146741,56765,16963,24955,48058
"Jefes y empleados de oficina (028)",135801,31383,18523,29988,55907
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",335694,288473,24806,15489,6926
