"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARATA (000)",4048,3247,246,216,339
"Hombres (001)",2332,1809,155,149,219
"Mujeres (002)",1716,1438,91,67,120
"De 06 a 14 años (003)",87,79,8,,
"Hombres (004)",57,50,7,,
"Mujeres (005)",30,29,1,,
"De 15 a 29 años (006)",1011,725,79,82,125
"Hombres (007)",577,403,53,59,62
"Mujeres (008)",434,322,26,23,63
"De 30 a 44 años (009)",1224,895,92,88,149
"Hombres (010)",722,512,54,53,103
"Mujeres (011)",502,383,38,35,46
"De 45 a 64 años (012)",1153,999,50,43,61
"Hombres (013)",659,544,31,34,50
"Mujeres (014)",494,455,19,9,11
"De 65 y más años (015)",573,549,17,3,4
"Hombres (016)",317,300,10,3,4
"Mujeres (017)",256,249,7,,
,,,,,
"URBANA (018)",3041,2380,200,201,260
"Hombres (019)",1736,1318,117,135,166
"Mujeres (020)",1305,1062,83,66,94
"De 06 a 14 años (021)",70,64,6,,
"Hombres (022)",46,41,5,,
"Mujeres (023)",24,23,1,,
"De 15 a 29 años (024)",759,524,68,73,94
"Hombres (025)",434,296,44,50,44
"Mujeres (026)",325,228,24,23,50
"De 30 a 44 años (027)",926,659,71,84,112
"Hombres (028)",536,370,37,50,79
"Mujeres (029)",390,289,34,34,33
"De 45 a 64 años (030)",866,734,40,41,51
"Hombres (031)",490,395,23,32,40
"Mujeres (032)",376,339,17,9,11
"De 65 y más años (033)",420,399,15,3,3
"Hombres (034)",230,216,8,3,3
"Mujeres (035)",190,183,7,,
,,,,,
"RURAL (036)",1007,867,46,15,79
"Hombres (037)",596,491,38,14,53
"Mujeres (038)",411,376,8,1,26
"De 06 a 14 años (039)",17,15,2,,
"Hombres (040)",11,9,2,,
"Mujeres (041)",6,6,,,
"De 15 a 29 años (042)",252,201,11,9,31
"Hombres (043)",143,107,9,9,18
"Mujeres (044)",109,94,2,,13
"De 30 a 44 años (045)",298,236,21,4,37
"Hombres (046)",186,142,17,3,24
"Mujeres (047)",112,94,4,1,13
"De 45 a 64 años (048)",287,265,10,2,10
"Hombres (049)",169,149,8,2,10
"Mujeres (050)",118,116,2,,
"De 65 y más años (051)",153,150,2,,1
"Hombres (052)",87,84,2,,1
"Mujeres (053)",66,66,,,
