"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TUMBES (000)",139811,128578,11233
"Casa independiente (001)",135232,124089,11143
"Departamento en edificio (002)",1110,1110,
"Vivienda en quinta (003)",2313,2313,
"Vivienda en casa de vecindad (004)",357,357,
"Choza o cabaña (005)",86,,86
"Vivienda improvisada (006)",240,240,
"Local no dest.para hab. humana (007)",100,96,4
"Otro tipo (008)",373,373,
