"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANAS (000)",498,209,289
"Sin nivel (001)",17,6,11
"Primaria (003)",170,54,116
"Secundaria (004)",266,129,137
"Superior no univ. incompleta (005)",10,3,7
"Superior no univ. completa (006)",15,6,9
"Superior univ. incompleta (007)",4,2,2
"Superior univ. completa (008)",16,9,7
"Hombres (010)",417,173,244
"Sin nivel (011)",14,6,8
"Primaria (013)",139,43,96
"Secundaria (014)",230,108,122
"Superior no univ. incompleta (015)",10,3,7
"Superior no univ. completa (016)",11,5,6
"Superior univ. incompleta (017)",2,,2
"Superior univ. completa (018)",11,8,3
"Mujeres (020)",81,36,45
"Sin nivel (021)",3,,3
"Primaria (023)",31,11,20
"Secundaria (024)",36,21,15
"Superior no univ. completa (026)",4,1,3
"Superior univ. incompleta (027)",2,2,
"Superior univ. completa (028)",5,1,4
,,,
"AREA URBANA (030)",98,21,77
"Sin nivel (031)",3,1,2
"Primaria (033)",24,2,22
"Secundaria (034)",55,14,41
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",3,1,2
"Superior univ. incompleta (037)",4,2,2
"Superior univ. completa (038)",6,1,5
"Hombres (040)",72,15,57
"Sin nivel (041)",1,1,
"Primaria (043)",15,1,14
"Secundaria (044)",47,11,36
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",2,1,1
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",2,1,1
"Mujeres (050)",26,6,20
"Sin nivel (051)",2,,2
"Primaria (053)",9,1,8
"Secundaria (054)",8,3,5
"Superior no univ. completa (056)",1,,1
"Superior univ. incompleta (057)",2,2,
"Superior univ. completa (058)",4,,4
,,,
"AREA RURAL (060)",400,188,212
"Sin nivel (061)",14,5,9
"Primaria (063)",146,52,94
"Secundaria (064)",211,115,96
"Superior no univ. incompleta (065)",7,3,4
"Superior no univ. completa (066)",12,5,7
"Superior univ. completa (068)",10,8,2
"Hombres (070)",345,158,187
"Sin nivel (071)",13,5,8
"Primaria (073)",124,42,82
"Secundaria (074)",183,97,86
"Superior no univ. incompleta (075)",7,3,4
"Superior no univ. completa (076)",9,4,5
"Superior univ. completa (078)",9,7,2
"Mujeres (080)",55,30,25
"Sin nivel (081)",1,,1
"Primaria (083)",22,10,12
"Secundaria (084)",28,18,10
"Superior no univ. completa (086)",3,1,2
"Superior univ. completa (088)",1,1,
