"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PUNO (000)",225215,133064,92151
"Casa independiente (001)",205065,124595,80470
"Departamento en edificio (002)",3349,3349,
"Vivienda en quinta (003)",1028,1028,
"Vivienda en casa de vecindad (004)",3952,3952,
"Choza o cabaña (005)",11663,,11663
"Vivienda improvisada (006)",55,55,
"Local no dest.para hab. humana (007)",77,68,9
"Otro tipo (008)",26,17,9
