"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",13962,13358,62,2313,2310,1989,3204,2082,1039,359,604,53028
"De 12 a 14 años (001)",18,8,1,6,1,,,,,,10,8
"De 15 a 19 años (002)",460,404,9,323,61,8,3,,,,56,481
"De 20 a 24 años (003)",1554,1355,9,719,453,142,31,1,,,199,2185
"De 25 a 29 años (004)",1672,1541,3,421,515,333,241,27,1,,131,3653
"De 30 a 34 años (005)",1670,1583,8,237,375,370,439,132,20,2,87,5017
"De 35 a 39 años (006)",1671,1640,4,142,261,332,550,260,75,16,31,6550
"De 40 a 44 años (007)",1329,1303,2,94,156,209,407,264,135,36,26,6041
"De 45 a 49 años (008)",1134,1123,2,69,112,163,328,255,148,46,11,5593
"De 50 y más años (009)",4454,4401,24,302,376,432,1205,1143,660,259,53,23500
"Sin nivel (010)",4552,4463,24,386,495,513,1246,1007,585,207,89,22136
"De 15 a 19 años (012)",43,39,2,29,7,1,,,,,4,46
"De 20 a 24 años (013)",154,135,,59,50,17,8,1,,,19,250
"De 25 a 29 años (014)",196,191,,31,63,37,54,5,1,,5,539
"De 30 a 34 años (015)",352,342,2,35,62,70,124,42,5,2,10,1236
"De 35 a 39 años (016)",408,400,3,22,40,71,136,91,31,6,8,1833
"De 40 a 44 años (017)",335,328,1,21,28,45,93,81,46,13,7,1675
"De 45 a 49 años (018)",336,334,,19,24,28,93,90,64,16,2,1855
"De 50 y más años (019)",2728,2694,16,170,221,244,738,697,438,170,34,14702
"Educacion Inicial (020)",7,7,1,1,1,2,2,,,,,17
"De 15 a 19 años (022)",1,1,1,,,,,,,,,
"De 25 a 29 años (024)",3,3,,,1,1,1,,,,,9
