"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",23119,4627,46,11069,5347,347,833,165,685
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",35,,,5,8,3,11,1,7
"Profes., científicos e intelectuales (002)",1147,,,,36,54,465,53,539
"Técnicos de nivel medio ytrab.asimilados (003)",197,2,,12,33,28,75,12,35
"Jefes y empleados de oficina (004)",168,,,7,58,22,41,9,31
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1060,108,3,377,448,40,48,16,20
"Agricult.trabaj. calif.agrop. y pesquros (006)",10265,2097,9,5879,2117,60,62,26,15
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",980,188,2,405,325,17,25,7,11
"Obreros. construc., conf., papel, fab., instr (008)",776,44,2,315,346,28,26,10,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",7834,2033,29,3799,1807,75,54,21,16
"Otra (010)",22,,,,4,1,12,5,
"Ocupación no especificada (011)",635,155,1,270,165,19,14,5,6
"Hombres (012)",14366,1531,16,7368,4088,249,551,129,434
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",28,,,4,5,3,9,1,6
"Profes., científicos e intelectuales (014)",725,,,,25,33,296,38,333
"Técnicos de nivel medio ytrab.asimilados (015)",126,,,7,25,20,44,9,21
"Jefes y empleados de oficina (016)",119,,,5,44,17,21,8,24
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",338,11,,115,163,14,21,6,8
"Agricult.trabaj. calif.agrop. y pesquros (018)",8219,1127,5,5061,1881,53,55,25,12
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",622,42,,245,285,14,20,6,10
"Obreros. construc., conf., papel, fab., instr (020)",733,30,1,294,340,28,25,10,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3181,310,10,1539,1207,50,37,17,11
"Otra (022)",22,,,,4,1,12,5,
"Ocupación no especificada (023)",253,11,,98,109,16,11,4,4
"Mujeres (024)",8753,3096,30,3701,1259,98,282,36,251
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",7,,,1,3,,2,,1
"Profes., científicos e intelectuales (026)",422,,,,11,21,169,15,206
"Técnicos de nivel medio ytrab.asimilados (027)",71,2,,5,8,8,31,3,14
"Jefes y empleados de oficina (028)",49,,,2,14,5,20,1,7
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",722,97,3,262,285,26,27,10,12
"Agricult.trabaj. calif.agrop. y pesquros (030)",2046,970,4,818,236,7,7,1,3
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",358,146,2,160,40,3,5,1,1
"Obreros. construc., conf., papel, fab., instr (032)",43,14,1,21,6,,1,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",4653,1723,19,2260,600,25,17,4,5
"Ocupación no especificada (035)",382,144,1,172,56,3,3,1,2
,,,,,,,,,
"URBANA (036)",5769,506,14,1796,1904,200,661,122,566
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",20,,,2,4,,9,1,4
"Profes., científicos e intelectuales (038)",896,,,,12,26,377,39,442
