"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JAEN (000)",182221,3667,61686,49561,34622,23666,9019
"Casa independiente (001)",165942,3308,56197,44559,31454,21964,8460
"Departamento en edificio (002)",2816,54,759,995,644,290,74
"Vivienda en quinta (003)",3957,90,1232,1288,857,392,98
"Vivienda en casa de vecindad (004)",2741,53,841,941,557,268,81
"Choza o cabaña (005)",6540,156,2591,1717,1051,726,299
"Vivienda improvisada (006)",85,2,30,19,20,12,2
"Local no destinado para hab.humana (007)",124,4,35,37,31,12,5
"Otro tipo (008)",16,,1,5,8,2,
,,,,,,,
"URBANA (009)",90857,1638,27379,26415,18923,12329,4173
"Casa independiente (010)",81154,1435,24493,23138,16819,11356,3913
"Departamento en edificio (011)",2816,54,759,995,644,290,74
"Vivienda en quinta (012)",3957,90,1232,1288,857,392,98
"Vivienda en casa de vecindad (013)",2741,53,841,941,557,268,81
"Vivienda improvisada (015)",85,2,30,19,20,12,2
"Local no destinado para hab.humana (016)",90,4,23,30,19,9,5
"Otro tipo (017)",14,,1,4,7,2,
,,,,,,,
"RURAL (018)",91364,2029,34307,23146,15699,11337,4846
"Casa independiente (019)",84788,1873,31704,21421,14635,10608,4547
"Choza o cabaña (023)",6540,156,2591,1717,1051,726,299
"Local no destinado para hab.humana (025)",34,,12,7,12,3,
"Otro tipo (026)",2,,,1,1,,
