"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia AZANGARO (000)",37761,135930,10288,37011,27473,98919
"Casa independiente (001)",26686,95742,9750,35292,16936,60450
"Departamento en edificio (002)",9,32,9,32,,
"Vivienda en quinta (003)",24,100,24,100,,
"Vivienda en casa de vecindad (004)",490,1550,490,1550,,
"Choza o cabaña (005)",10526,38426,,,10526,38426
"Vivienda improvisada (006)",1,4,1,4,,
"Local no dest.para hab. humana (007)",23,72,12,29,11,43
"Otro tipo (008)",2,4,2,4,,
