"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAROCHIRI (000)",32612,23053,2656,2804,4099
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",90,,9,13,68
"Profes., científicos e intelectuales (002)",1894,487,280,436,691
"Técnicos de nivel medio y trab. asimilados (003)",1127,493,141,157,336
"Jefes y empleados de oficina (004)",825,125,81,133,486
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3506,2995,285,97,129
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7236,7038,196,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3769,1484,498,780,1007
"Obreros construc.,conf.,papel, fab., instr. (008)",2990,1939,353,332,366
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",10272,7899,741,782,850
"Otra (010)",120,,,,120
"Ocupación no especificada (011)",783,593,72,72,46
"Hombres (012)",22181,14658,2056,2360,3107
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",60,,5,10,45
"Profes., científicos e intelectuales (014)",927,241,132,232,322
"Técnicos de nivel medio y trab. asimilados (015)",774,335,108,132,199
"Jefes y empleados de oficina (016)",427,56,46,68,257
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1326,1020,139,71,96
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5665,5510,153,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3418,1266,457,750,945
"Obreros construc.,conf.,papel, fab., instr. (020)",2929,1899,346,328,356
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6141,4071,620,710,740
"Otra (022)",114,,,,114
"Ocupación no especificada (023)",400,260,50,57,33
"Mujeres (024)",10431,8395,600,444,992
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",30,,4,3,23
"Profes., científicos e intelectuales (026)",967,246,148,204,369
"Técnicos de nivel medio y trab. asimilados (027)",353,158,33,25,137
"Jefes y empleados de oficina (028)",398,69,35,65,229
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2180,1975,146,26,33
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1571,1528,43,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",351,218,41,30,62
"Obreros construc.,conf.,papel, fab., instr. (032)",61,40,7,4,10
