"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LA CONVENCION (000)",55905,53786,14513,8014,7773,5908,8265,5161,2689,1463,2119,149948
"De 12 a 14 años (001)",5815,5754,5715,32,7,,,,,,61,46
"De 15 a 19 años (002)",7601,7338,5808,1262,224,28,16,,,,263,1858
"De 20 a 24 años (003)",6613,5940,1428,2576,1363,401,151,21,,,673,7278
"De 25 a 29 años (004)",6392,5859,517,1650,1888,1038,667,79,20,,533,12071
"De 30 a 34 años (005)",5524,5335,266,962,1447,1141,1121,320,68,10,189,14880
"De 35 a 39 años (006)",5402,5278,173,562,1098,1050,1480,682,189,44,124,18804
"De 40 a 44 años (007)",4566,4507,132,272,593,805,1352,879,347,127,59,19756
"De 45 a 49 años (008)",3769,3734,95,200,434,486,1080,817,440,182,35,18336
"De 50 y más años (009)",10223,10041,379,498,719,959,2398,2363,1625,1100,182,56919
"Sin nivel (010)",9668,9428,550,562,782,890,2260,2112,1355,917,240,50219
"De 12 a 14 años (011)",73,73,69,4,,,,,,,,4
"De 15 a 19 años (012)",184,179,98,50,23,6,2,,,,5,122
"De 20 a 24 años (013)",263,234,33,64,73,33,28,3,,,29,447
"De 25 a 29 años (014)",412,377,25,45,85,82,113,19,8,,35,1143
"De 30 a 34 años (015)",542,520,19,44,95,88,164,75,29,6,22,2014
"De 35 a 39 años (016)",765,740,28,40,61,97,236,197,62,19,25,3484
"De 40 a 44 años (017)",908,898,20,30,61,91,253,252,135,56,10,4903
"De 45 a 49 años (018)",1011,1000,31,42,73,77,263,256,168,90,11,5690
"De 50 y más años (019)",5510,5407,227,243,311,416,1201,1310,953,746,103,32412
"Educacion Inicial (020)",72,63,20,3,12,7,13,6,,2,9,163
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
