"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ASCOPE (000)",45774,107616,99201,,1669,92.2,1.6
"De 12 a 14 años (001)",3475,24,23,,6,95.8,25
"De 15 a 19 años (002)",5170,713,703,197,98.6,27.6,
"De 20 a 24 años (003)",4732,3229,3172,429,98.2,13.3,
"De 25 a 29 años (004)",4453,5491,5402,399,98.4,7.3,
"De 30 a 34 años (005)",4137,7490,7322,322,97.8,4.3,
"De 35 a 39 años (006)",4094,9036,8799,219,97.4,2.4,
"De 40 a 44 años (007)",4016,10511,10146,90,96.5,0.9,
"De 45 a 49 años (008)",3529,10638,10114,7,95.1,0.1,
"De 50 y más años (009)",12168,60484,53520,,88.5,,
"PEA (010)",10780,21214,20018,246,94.4,1.2,
"De 12 a 14 años (011)",88,1,1,,100,,
"De 15 a 19 años (012)",582,69,66,8,95.7,11.6,
"De 20 a 24 años (013)",1242,563,555,47,98.6,8.3,
"De 25 a 29 años (014)",1398,1230,1206,53,98,4.3,
"De 30 a 34 años (015)",1408,2051,2004,59,97.7,2.9,
"De 35 a 39 años (016)",1411,2697,2619,52,97.1,1.9,
"De 40 a 44 años (017)",1375,3239,3133,25,96.7,0.8,
"De 45 a 49 años (018)",1201,3185,3015,2,94.7,0.1,
"De 50 y más años (019)",2075,8179,7419,,90.7,,
"Ocupada (020)",10091,20696,19521,230,94.3,1.1,
"De 12 a 14 años (021)",74,1,1,,100,,
"De 15 a 19 años (022)",484,60,57,5,95,8.3,
"De 20 a 24 años (023)",1053,520,512,45,98.5,8.7,
"De 25 a 29 años (024)",1272,1156,1133,46,98,4,
"De 30 a 34 años (025)",1327,1988,1942,56,97.7,2.8,
"De 35 a 39 años (026)",1332,2583,2511,51,97.2,2,
"De 40 a 44 años (027)",1333,3179,3075,25,96.7,0.8,
"De 45 a 49 años (028)",1170,3125,2960,2,94.7,0.1,
"De 50 y más años (029)",2046,8084,7330,,90.7,,
"Desocupada (030)",689,518,497,16,95.9,3.1,
"De 12 a 14 años (031)",14,,,,,,
"De 15 a 19 años (032)",98,9,9,3,100,33.3,
"De 20 a 24 años (033)",189,43,43,2,100,4.7,
"De 25 a 29 años (034)",126,74,73,7,98.6,9.5,
"De 30 a 34 años (035)",81,63,62,3,98.4,4.8,
