"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANCHIS (000)",33550,821,8929,11918,9128,2754
"Agric., ganadería, caza y silvicultura (001)",14279,539,2999,4167,4511,2063
"Pesca (002)",6,,1,2,3,
"Explotación de minas y canteras (003)",103,,52,31,15,5
"Industrias manufactureras (004)",2155,50,790,698,507,110
"Suministro de electricidad, gas y agua (005)",54,,22,20,11,1
"Construcción (006)",1705,5,497,766,396,41
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5440,114,1542,2079,1409,296
"Venta, mant.y rep. veh.autom.y motoc. (008)",290,4,122,102,59,3
"Comercio al por mayor (009)",207,2,67,78,52,8
"Comercio al por menor (010)",4943,108,1353,1899,1298,285
"Hoteles y restaurantes (011)",1330,40,465,448,317,60
"Trans., almac. y comunicaciones (012)",1911,28,780,718,366,19
"Intermediación financiera (013)",71,,28,37,6,
"Activid.inmobil., empres. y alquileres (014)",518,1,170,200,134,13
"Admin.pub. y defensa; p. segur.soc.afil (015)",1089,,363,478,233,15
"Enseñanza (016)",2928,,486,1616,797,29
"Servicios sociales y de salud (017)",442,,109,203,119,11
"Otras activ. serv.comun.soc y personales (018)",475,9,180,179,96,11
"Hogares privados con servicio doméstico (019)",348,35,203,64,31,15
"Actividad economica no especificada (021)",696,,242,212,177,65
"Hombres (022)",19808,497,5158,7026,5451,1676
"Agric., ganadería, caza y silvicultura (023)",8836,333,1840,2557,2785,1321
"Pesca (024)",6,,1,2,3,
"Explotación de minas y canteras (025)",95,,47,30,13,5
"Industrias manufactureras (026)",1515,38,552,473,376,76
"Suministro de electricidad, gas y agua (027)",49,,20,17,11,1
"Construcción (028)",1638,5,470,735,388,40
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2084,69,610,786,500,119
"Venta, mant.y rep. veh.autom.y motoc. (030)",269,3,114,93,56,3
"Comercio al por mayor (031)",90,2,24,38,20,6
"Comercio al por menor (032)",1725,64,472,655,424,110
"Hoteles y restaurantes (033)",279,16,128,76,51,8
"Trans., almac. y comunicaciones (034)",1774,18,701,677,359,19
"Intermediación financiera (035)",33,,8,20,5,
"Activid.inmobil., empres. y alquileres (036)",371,,110,143,108,10
"Admin.pub. y defensa; p. segur.soc.afil (037)",794,,216,377,189,12
"Enseñanza (038)",1615,,214,885,492,24
"Servicios sociales y de salud (039)",169,,33,77,51,8
