"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CONTUMAZA (000)",931,31,457,253,145,45
"Conviviente (001)",313,1,102,125,67,18
"Separado(a) (002)",20,,5,6,8,1
"Casado(a) (003)",118,,8,47,44,19
"Viudo(a) (004)",10,,,2,3,5
"Divorciado(a) (005)",1,,1,,,
"Soltero(a) (006)",469,30,341,73,23,2
"Hombres (008)",776,22,355,220,136,43
"Conviviente (009)",292,,90,118,67,17
"Separado(a) (010)",7,,1,2,4,
"Casado(a) (011)",106,,8,37,42,19
"Viudo(a) (012)",7,,,1,1,5
"Soltero(a) (014)",364,22,256,62,22,2
"Mujeres (016)",155,9,102,33,9,2
"Conviviente (017)",21,1,12,7,,1
"Separado(a) (018)",13,,4,4,4,1
"Casado(a) (019)",12,,,10,2,
"Viudo(a) (020)",3,,,1,2,
"Divorciado(a) (021)",1,,1,,,
"Soltero(a) (022)",105,8,85,11,1,
,,,,,,
"AREA URBANA (024)",374,3,195,107,53,16
"Conviviente (025)",113,,39,45,25,4
"Separado(a) (026)",8,,1,4,3,
"Casado(a) (027)",55,,4,25,17,9
"Viudo(a) (028)",5,,,1,2,2
"Divorciado(a) (029)",1,,1,,,
"Soltero(a) (030)",192,3,150,32,6,1
"Hombres (032)",279,3,132,83,46,15
"Conviviente (033)",96,,29,39,25,3
"Separado(a) (034)",3,,,2,1,
"Casado(a) (035)",45,,4,17,15,9
"Viudo(a) (036)",2,,,,,2
"Soltero(a) (038)",133,3,99,25,5,1
"Mujeres (040)",95,,63,24,7,1
"Conviviente (041)",17,,10,6,,1
"Separado(a) (042)",5,,1,2,2,
"Casado(a) (043)",10,,,8,2,
"Viudo(a) (044)",3,,,1,2,
"Divorciado(a) (045)",1,,1,,,
"Soltero(a) (046)",59,,51,7,1,
,,,,,,
"AREA RURAL (048)",557,28,262,146,92,29
"Conviviente (049)",200,1,63,80,42,14
"Separado(a) (050)",12,,4,2,5,1
"Casado(a) (051)",63,,4,22,27,10
"Viudo(a) (052)",5,,,1,1,3
"Soltero(a) (054)",277,27,191,41,17,1
"Hombres (056)",497,19,223,137,90,28
"Conviviente (057)",196,,61,79,42,14
"Separado(a) (058)",4,,1,,3,
"Casado(a) (059)",61,,4,20,27,10
"Viudo(a) (060)",5,,,1,1,3
"Soltero(a) (062)",231,19,157,37,17,1
"Mujeres (064)",60,9,39,9,2,1
"Conviviente (065)",4,1,2,1,,
"Separado(a) (066)",8,,3,2,2,1
"Casado(a) (067)",2,,,2,,
"Soltero(a) (070)",46,8,34,4,,
