"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SIHUAS (000)",28564,1578,3682,4614,3193,3851,3421,5873,2352
"Sabe leer y escribir (001)",21043,,2341,4542,3116,3555,2832,3823,834
"No sabe leer y escribir (002)",7521,1578,1341,72,77,296,589,2050,1518
"Hombres (004)",14045,816,1847,2314,1703,1907,1588,2827,1043
"Sabe leer y escribir (005)",11434,,1164,2285,1668,1841,1491,2376,609
"No sabe leer y escribir (006)",2611,816,683,29,35,66,97,451,434
"Mujeres (008)",14519,762,1835,2300,1490,1944,1833,3046,1309
"Sabe leer y escribir (009)",9609,,1177,2257,1448,1714,1341,1447,225
"No sabe leer y escribir (010)",4910,762,658,43,42,230,492,1599,1084
,,,,,,,,,
"URBANA (012)",7485,337,794,1075,855,1156,1075,1614,579
"Sabe leer y escribir (013)",6390,,586,1069,851,1136,1041,1377,330
"No sabe leer y escribir (014)",1095,337,208,6,4,20,34,237,249
"Hombres (016)",3740,178,399,560,458,580,506,795,264
"Sabe leer y escribir (017)",3351,,288,557,455,573,503,767,208
"No sabe leer y escribir (018)",389,178,111,3,3,7,3,28,56
"Mujeres (020)",3745,159,395,515,397,576,569,819,315
"Sabe leer y escribir (021)",3039,,298,512,396,563,538,610,122
"No sabe leer y escribir (022)",706,159,97,3,1,13,31,209,193
,,,,,,,,,
"RURAL (024)",21079,1241,2888,3539,2338,2695,2346,4259,1773
"Sabe leer y escribir (025)",14653,,1755,3473,2265,2419,1791,2446,504
"No sabe leer y escribir (026)",6426,1241,1133,66,73,276,555,1813,1269
"Hombres (028)",10305,638,1448,1754,1245,1327,1082,2032,779
"Sabe leer y escribir (029)",8083,,876,1728,1213,1268,988,1609,401
"No sabe leer y escribir (030)",2222,638,572,26,32,59,94,423,378
"Mujeres (032)",10774,603,1440,1785,1093,1368,1264,2227,994
"Sabe leer y escribir (033)",6570,,879,1745,1052,1151,803,837,103
"No sabe leer y escribir (034)",4204,603,561,40,41,217,461,1390,891
