"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PARINACOCHAS (000)",28196,1409,3356,3718,2766,4299,3724,6036,2888
"Sabe leer y escribir (001)",22413,,2436,3671,2733,4170,3473,4621,1309
"No sabe leer y escribir (002)",5783,1409,920,47,33,129,251,1415,1579
"Hombres (004)",14203,718,1714,1884,1432,2241,1916,3052,1246
"Sabe leer y escribir (005)",12104,,1248,1861,1415,2195,1848,2688,849
"No sabe leer y escribir (006)",2099,718,466,23,17,46,68,364,397
"Mujeres (008)",13993,691,1642,1834,1334,2058,1808,2984,1642
"Sabe leer y escribir (009)",10309,,1188,1810,1318,1975,1625,1933,460
"No sabe leer y escribir (010)",3684,691,454,24,16,83,183,1051,1182
,,,,,,,,,
"URBANA (012)",16307,814,1915,2177,1735,2612,2253,3378,1423
"Sabe leer y escribir (013)",13894,,1501,2161,1723,2580,2175,2956,798
"No sabe leer y escribir (014)",2413,814,414,16,12,32,78,422,625
"Hombres (016)",8093,415,1007,1097,887,1309,1082,1707,589
"Sabe leer y escribir (017)",7224,,789,1092,880,1298,1058,1634,473
"No sabe leer y escribir (018)",869,415,218,5,7,11,24,73,116
"Mujeres (020)",8214,399,908,1080,848,1303,1171,1671,834
"Sabe leer y escribir (021)",6670,,712,1069,843,1282,1117,1322,325
"No sabe leer y escribir (022)",1544,399,196,11,5,21,54,349,509
,,,,,,,,,
"RURAL (024)",11889,595,1441,1541,1031,1687,1471,2658,1465
"Sabe leer y escribir (025)",8519,,935,1510,1010,1590,1298,1665,511
"No sabe leer y escribir (026)",3370,595,506,31,21,97,173,993,954
"Hombres (028)",6110,303,707,787,545,932,834,1345,657
"Sabe leer y escribir (029)",4880,,459,769,535,897,790,1054,376
"No sabe leer y escribir (030)",1230,303,248,18,10,35,44,291,281
"Mujeres (032)",5779,292,734,754,486,755,637,1313,808
"Sabe leer y escribir (033)",3639,,476,741,475,693,508,611,135
"No sabe leer y escribir (034)",2140,292,258,13,11,62,129,702,673
