"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CASTILLA (000)",13638,13348,3463,1800,2157,1575,1875,1193,697,588,290,39287
"De 12 a 14 años (001)",1152,1151,1142,8,1,,,,,,1,10
"De 15 a 19 años (002)",1524,1514,1296,183,30,4,1,,,,10,259
"De 20 a 24 años (003)",1381,1297,459,512,247,59,18,2,,,84,1272
"De 25 a 29 años (004)",1394,1315,181,401,461,188,77,7,,,79,2250
"De 30 a 34 años (005)",1358,1314,117,261,437,280,176,36,5,2,44,3029
"De 35 a 39 años (006)",1349,1332,70,149,387,308,309,78,27,4,17,3947
"De 40 a 44 años (007)",1126,1111,45,64,239,247,295,144,49,28,15,4209
"De 45 a 49 años (008)",928,922,26,55,126,160,253,169,87,46,6,4230
"De 50 y más años (009)",3426,3392,127,167,229,329,746,757,529,508,34,20081
"Sin nivel (010)",2361,2334,108,108,167,232,479,525,367,348,27,13725
"De 12 a 14 años (011)",24,24,24,,,,,,,,,
"De 15 a 19 años (012)",20,19,13,3,2,,1,,,,1,11
"De 20 a 24 años (013)",37,33,4,16,6,4,3,,,,4,53
"De 25 a 29 años (014)",38,33,4,5,9,5,7,3,,,5,85
"De 30 a 34 años (015)",129,126,4,8,39,30,28,12,4,1,3,421
"De 35 a 39 años (016)",176,172,6,10,22,44,55,23,10,2,4,682
"De 40 a 44 años (017)",226,224,7,8,15,29,59,54,29,23,2,1231
"De 45 a 49 años (018)",226,226,6,7,8,19,50,59,45,32,,1428
"De 50 y más años (019)",1485,1477,40,51,66,101,276,374,279,290,8,9814
"Educacion Inicial (020)",21,21,5,9,4,1,2,,,,,28
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",4,4,1,3,,,,,,,,3
