"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia AIJA (000)",7995,7923,37,35
"Hombres (001)",3994,3956,16,22
"Mujeres (002)",4001,3967,21,13
"Menores de 1 año (003)",155,135,11,9
"Hombres (004)",77,62,9,6
"Mujeres (005)",78,73,2,3
"De 1 a 5 años (006)",946,916,6,24
"Hombres (007)",481,460,6,15
"Mujeres (008)",465,456,,9
"De 6 a 14 años (009)",1668,1667,,1
"Hombres (010)",862,861,,1
"Mujeres (011)",806,806,,
"De 15 a 29 años (012)",1742,1742,,
"Hombres (013)",866,866,,
"Mujeres (014)",876,876,,
"De 30 a 44 años (015)",1343,1341,1,1
"Hombres (016)",680,679,1,
"Mujeres (017)",663,662,,1
"De 45 a 64 años (018)",1232,1230,2,
"Hombres (019)",597,597,,
"Mujeres (020)",635,633,2,
"De 65 a más años (021)",909,892,17,
"Hombres (022)",431,431,,
"Mujeres (023)",478,461,17,
,,,,
"URBANA (024)",2528,2511,10,7
"Hombres (025)",1252,1244,3,5
"Mujeres (026)",1276,1267,7,2
"Menores de 1 año (027)",43,39,3,1
"Hombres (028)",22,19,2,1
"Mujeres (029)",21,20,1,
"De 1 a 5 años (030)",260,254,1,5
"Hombres (031)",139,134,1,4
"Mujeres (032)",121,120,,1
"De 6 a 14 años (033)",470,470,,
"Hombres (034)",238,238,,
"Mujeres (035)",232,232,,
"De 15 a 29 años (036)",517,517,,
"Hombres (037)",247,247,,
"Mujeres (038)",270,270,,
"De 30 a 44 años (039)",449,448,,1
"Hombres (040)",221,221,,
"Mujeres (041)",228,227,,1
"De 45 a 64 años (042)",430,430,,
"Hombres (043)",206,206,,
"Mujeres (044)",224,224,,
"De 65 a más años (045)",359,353,6,
"Hombres (046)",179,179,,
"Mujeres (047)",180,174,6,
,,,,
"RURAL (048)",5467,5412,27,28
"Hombres (049)",2742,2712,13,17
"Mujeres (050)",2725,2700,14,11
"Menores de 1 año (051)",112,96,8,8
"Hombres (052)",55,43,7,5
"Mujeres (053)",57,53,1,3
"De 1 a 5 años (054)",686,662,5,19
"Hombres (055)",342,326,5,11
"Mujeres (056)",344,336,,8
"De 6 a 14 años (057)",1198,1197,,1
"Hombres (058)",624,623,,1
"Mujeres (059)",574,574,,
"De 15 a 29 años (060)",1225,1225,,
"Hombres (061)",619,619,,
"Mujeres (062)",606,606,,
"De 30 a 44 años (063)",894,893,1,
"Hombres (064)",459,458,1,
"Mujeres (065)",435,435,,
"De 45 a 64 años (066)",802,800,2,
"Hombres (067)",391,391,,
"Mujeres (068)",411,409,2,
"De 65 a más años (069)",550,539,11,
"Hombres (070)",252,252,,
"Mujeres (071)",298,287,11,
