"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AIJA (000)",7445,363,938,918,700,1042,944,1631,909
"Sin nivel (001)",1018,363,50,15,16,36,89,212,237
"Educación inicial (002)",266,,258,4,,2,2,,
"Primaria (003)",3174,,630,633,127,225,308,772,479
"Secundaria (004)",1965,,,266,516,495,272,330,86
"Superior no univ. incompleto (005)",343,,,,28,114,79,88,34
"Superior no univ. completo (006)",403,,,,,109,116,137,41
"Superior univ. incompleto (007)",92,,,,13,36,22,15,6
"Superior univ. completo (008)",184,,,,,25,56,77,26
"Hombres (010)",3719,191,471,483,360,506,478,799,431
"Sin nivel (011)",338,191,28,11,1,2,22,42,41
"Educación inicial (012)",126,,120,4,,,2,,
"Primaria (013)",1549,,323,335,67,90,125,347,262
"Secundaria (014)",1062,,,133,267,266,159,189,48
"Superior no univ. incompleto (015)",207,,,,16,56,53,57,25
"Superior no univ. completo (016)",262,,,,,66,71,95,30
"Superior univ. incompleto (017)",56,,,,9,15,14,14,4
"Superior univ. completo (018)",119,,,,,11,32,55,21
"Mujeres (020)",3726,172,467,435,340,536,466,832,478
"Sin nivel (021)",680,172,22,4,15,34,67,170,196
"Educación inicial (022)",140,,138,,,2,,,
"Primaria (023)",1625,,307,298,60,135,183,425,217
"Secundaria (024)",903,,,133,249,229,113,141,38
"Superior no univ. incompleto (025)",136,,,,12,58,26,31,9
"Superior no univ. completo (026)",141,,,,,43,45,42,11
"Superior univ. incompleto (027)",36,,,,4,21,8,1,2
"Superior univ. completo (028)",65,,,,,14,24,22,5
,,,,,,,,,
"URBANA (030)",2376,95,271,255,200,317,307,572,359
"Sin nivel (031)",173,95,16,,,1,9,13,39
"Educación inicial (032)",82,,79,,,2,1,,
"Primaria (033)",878,,176,161,23,25,51,234,208
"Secundaria (034)",695,,,94,171,153,92,142,43
"Superior no univ. incompleto (035)",132,,,,3,41,31,39,18
"Superior no univ. completo (036)",235,,,,,57,71,80,27
"Superior univ. incompleto (037)",41,,,,3,20,10,4,4
"Superior univ. completo (038)",140,,,,,18,42,60,20
"Hombres (040)",1176,54,136,133,99,148,150,277,179
"Sin nivel (041)",70,54,7,,,,2,3,4
"Educación inicial (042)",40,,39,,,,1,,
"Primaria (043)",407,,90,85,16,6,21,84,105
"Secundaria (044)",332,,,48,81,77,40,65,21
"Superior no univ. incompleto (045)",72,,,,1,16,19,24,12
"Superior no univ. completo (046)",147,,,,,33,40,56,18
"Superior univ. incompleto (047)",19,,,,1,9,3,3,3
"Superior univ. completo (048)",89,,,,,7,24,42,16
"Mujeres (050)",1200,41,135,122,101,169,157,295,180
"Sin nivel (051)",103,41,9,,,1,7,10,35
"Educación inicial (052)",42,,40,,,2,,,
"Primaria (053)",471,,86,76,7,19,30,150,103
"Secundaria (054)",363,,,46,90,76,52,77,22
"Superior no univ. incompleto (055)",60,,,,2,25,12,15,6
"Superior no univ. completo (056)",88,,,,,24,31,24,9
"Superior univ. incompleto (057)",22,,,,2,11,7,1,1
"Superior univ. completo (058)",51,,,,,11,18,18,4
,,,,,,,,,
"RURAL (060)",5069,268,667,663,500,725,637,1059,550
"Sin nivel (061)",845,268,34,15,16,35,80,199,198
"Educación inicial (062)",184,,179,4,,,1,,
"Primaria (063)",2296,,454,472,104,200,257,538,271
"Secundaria (064)",1270,,,172,345,342,180,188,43
"Superior no univ. incompleto (065)",211,,,,25,73,48,49,16
"Superior no univ. completo (066)",168,,,,,52,45,57,14
"Superior univ. incompleto (067)",51,,,,10,16,12,11,2
"Superior univ. completo (068)",44,,,,,7,14,17,6
"Hombres (070)",2543,137,335,350,261,358,328,522,252
"Sin nivel (071)",268,137,21,11,1,2,20,39,37
"Educación inicial (072)",86,,81,4,,,1,,
"Primaria (073)",1142,,233,250,51,84,104,263,157
"Secundaria (074)",730,,,85,186,189,119,124,27
"Superior no univ. incompleto (075)",135,,,,15,40,34,33,13
"Superior no univ. completo (076)",115,,,,,33,31,39,12
"Superior univ. incompleto (077)",37,,,,8,6,11,11,1
"Superior univ. completo (078)",30,,,,,4,8,13,5
"Mujeres (080)",2526,131,332,313,239,367,309,537,298
"Sin nivel (081)",577,131,13,4,15,33,60,160,161
"Educación inicial (082)",98,,98,,,,,,
"Primaria (083)",1154,,221,222,53,116,153,275,114
"Secundaria (084)",540,,,87,159,153,61,64,16
"Superior no univ. incompleto (085)",76,,,,10,33,14,16,3
"Superior no univ. completo (086)",53,,,,,19,14,18,2
"Superior univ. incompleto (087)",14,,,,2,10,1,,1
"Superior univ. completo (088)",14,,,,,3,6,4,1
