"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DOS DE MAYO (000)",16240,15841,5331,1591,1430,1249,2094,1725,1329,1092,399,52151
"De 12 a 14 años (001)",2045,2040,2033,7,,,,,,,5,7
"De 15 a 19 años (002)",2490,2456,2137,261,45,7,6,,,,34,396
"De 20 a 24 años (003)",1849,1707,609,573,344,135,39,7,,,142,1876
"De 25 a 29 años (004)",1481,1380,200,324,331,283,212,27,3,,101,2936
"De 30 a 34 años (005)",1364,1320,94,141,235,271,398,140,32,9,44,4438
"De 35 a 39 años (006)",1358,1337,35,78,152,209,408,272,146,37,21,6177
"De 40 a 44 años (007)",1146,1139,31,42,78,103,278,293,200,114,7,6566
"De 45 a 49 años (008)",1007,1000,34,34,59,73,175,262,198,165,7,6398
"De 50 y más años (009)",3500,3462,158,131,186,168,578,724,750,767,38,23357
"Conviviente (010)",3982,3907,218,815,700,591,808,435,227,113,75,13483
"De 12 a 14 años (011)",10,5,3,2,,,,,,,5,2
"De 15 a 19 años (012)",292,265,69,160,30,5,1,,,,27,239
"De 20 a 24 años (013)",804,784,67,350,240,95,27,5,,,20,1261
"De 25 a 29 años (014)",748,738,31,182,198,179,136,10,2,,10,1775
"De 30 a 34 años (015)",633,626,16,53,109,148,223,63,12,2,7,2220
"De 35 a 39 años (016)",564,563,10,28,59,90,198,106,62,10,1,2594
"De 40 a 44 años (017)",341,340,5,17,21,32,96,91,54,24,1,1873
"De 45 a 49 años (018)",227,226,5,10,15,24,49,65,35,23,1,1303
"De 50 y más años (019)",363,360,12,13,28,18,78,95,62,54,3,2216
"Separado(a) (020)",735,724,23,222,143,81,127,73,32,23,11,2306
"De 12 a 14 años (021)",3,3,2,1,,,,,,,,1
"De 15 a 19 años (022)",54,50,,45,4,1,,,,,4,56
