"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAVELICA (000)",34730,32604,143,6377,5478,4467,7374,5483,2616,666,2126,127872
"De 12 a 14 años (001)",40,20,1,18,1,,,,,,20,20
"De 15 a 19 años (002)",981,878,20,754,96,5,3,,,,103,973
"De 20 a 24 años (003)",4373,3469,34,2052,1019,283,73,8,,,904,5305
"De 25 a 29 años (004)",4600,4008,14,1376,1279,768,509,59,3,,592,8771
"De 30 a 34 años (005)",4286,4044,13,777,1016,843,1064,297,33,1,242,12169
"De 35 a 39 años (006)",3895,3794,2,402,661,702,1156,673,185,13,101,14960
"De 40 a 44 años (007)",3271,3210,7,208,387,473,932,780,351,72,61,15294
"De 45 a 49 años (008)",2892,2866,8,158,264,344,751,752,466,123,26,15182
"De 50 y más años (009)",10392,10315,44,632,755,1049,2886,2914,1578,457,77,55198
"Sin nivel (010)",10559,10424,53,708,812,1060,2909,2933,1573,376,135,54735
"De 15 a 19 años (012)",18,18,1,16,1,,,,,,,18
"De 20 a 24 años (013)",143,119,3,41,50,16,9,,,,24,228
"De 25 a 29 años (014)",299,275,4,49,70,63,80,8,1,,24,782
"De 30 a 34 años (015)",487,466,2,52,47,72,194,87,12,,21,1861
"De 35 a 39 años (016)",701,693,1,39,50,64,228,226,82,3,8,3541
"De 40 a 44 años (017)",818,808,4,41,46,71,210,261,146,29,10,4519
"De 45 a 49 años (018)",990,984,5,44,60,77,217,290,224,67,6,5881
"De 50 y más años (019)",7103,7061,33,426,488,697,1971,2061,1108,277,42,37905
"Educacion Inicial (020)",39,34,,7,6,7,8,4,2,,5,117
"De 15 a 19 años (022)",3,3,,3,,,,,,,,3
"De 20 a 24 años (023)",4,2,,1,1,,,,,,2,3
