"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",24750,1124,2776,3085,2553,3998,3618,5515,2081
"Sin nivel (001)",2714,1124,356,39,48,110,156,467,414
"Educación inicial (002)",586,,555,8,5,6,12,,
"Primaria (003)",14575,,1865,2268,972,2125,2145,3692,1508
"Secundaria (004)",5165,,,770,1465,1266,797,778,89
"Superior no univ. incompleto (005)",383,,,,49,141,92,93,8
"Superior no univ. completo (006)",780,,,,,203,251,283,43
"Superior univ. incompleto (007)",164,,,,14,71,34,40,5
"Superior univ. completo (008)",383,,,,,76,131,162,14
"Hombres (010)",13051,575,1415,1588,1410,2149,1924,2987,1003
"Sin nivel (011)",1184,575,181,20,31,40,69,159,109
"Educación inicial (012)",312,,306,2,1,2,1,,
"Primaria (013)",7640,,928,1184,558,1110,1120,1958,782
"Secundaria (014)",3000,,,382,801,761,480,510,66
"Superior no univ. incompleto (015)",189,,,,16,62,50,54,7
"Superior no univ. completo (016)",415,,,,,96,118,175,26
"Superior univ. incompleto (017)",86,,,,3,37,16,25,5
"Superior univ. completo (018)",225,,,,,41,70,106,8
"Mujeres (020)",11699,549,1361,1497,1143,1849,1694,2528,1078
"Sin nivel (021)",1530,549,175,19,17,70,87,308,305
"Educación inicial (022)",274,,249,6,4,4,11,,
"Primaria (023)",6935,,937,1084,414,1015,1025,1734,726
"Secundaria (024)",2165,,,388,664,505,317,268,23
"Superior no univ. incompleto (025)",194,,,,33,79,42,39,1
"Superior no univ. completo (026)",365,,,,,107,133,108,17
"Superior univ. incompleto (027)",78,,,,11,34,18,15,
"Superior univ. completo (028)",158,,,,,35,61,56,6
,,,,,,,,,
"URBANA (030)",8150,317,781,1033,846,1125,1275,2028,745
"Sin nivel (031)",585,317,33,8,9,17,27,85,89
"Educación inicial (032)",233,,217,4,2,4,6,,
"Primaria (033)",3821,,531,648,151,338,517,1084,552
"Secundaria (034)",2272,,,373,644,431,359,412,53
"Superior no univ. incompleto (035)",262,,,,33,97,61,66,5
"Superior no univ. completo (036)",532,,,,,123,167,213,29
"Superior univ. incompleto (037)",122,,,,7,55,25,31,4
"Superior univ. completo (038)",323,,,,,60,113,137,13
"Hombres (040)",4122,171,411,507,440,549,637,1061,346
"Sin nivel (041)",269,171,18,3,5,10,14,28,20
"Educación inicial (042)",124,,123,,,,1,,
"Primaria (043)",1823,,270,311,83,140,242,520,257
"Secundaria (044)",1257,,,193,342,240,202,245,35
"Superior no univ. incompleto (045)",121,,,,9,41,32,35,4
"Superior no univ. completo (046)",274,,,,,54,73,128,19
"Superior univ. incompleto (047)",65,,,,1,29,14,17,4
"Superior univ. completo (048)",189,,,,,35,59,88,7
"Mujeres (050)",4028,146,370,526,406,576,638,967,399
"Sin nivel (051)",316,146,15,5,4,7,13,57,69
"Educación inicial (052)",109,,94,4,2,4,5,,
"Primaria (053)",1998,,261,337,68,198,275,564,295
"Secundaria (054)",1015,,,180,302,191,157,167,18
"Superior no univ. incompleto (055)",141,,,,24,56,29,31,1
"Superior no univ. completo (056)",258,,,,,69,94,85,10
"Superior univ. incompleto (057)",57,,,,6,26,11,14,
"Superior univ. completo (058)",134,,,,,25,54,49,6
,,,,,,,,,
"RURAL (060)",16600,807,1995,2052,1707,2873,2343,3487,1336
"Sin nivel (061)",2129,807,323,31,39,93,129,382,325
"Educación inicial (062)",353,,338,4,3,2,6,,
"Primaria (063)",10754,,1334,1620,821,1787,1628,2608,956
"Secundaria (064)",2893,,,397,821,835,438,366,36
"Superior no univ. incompleto (065)",121,,,,16,44,31,27,3
"Superior no univ. completo (066)",248,,,,,80,84,70,14
"Superior univ. incompleto (067)",42,,,,7,16,9,9,1
"Superior univ. completo (068)",60,,,,,16,18,25,1
"Hombres (070)",8929,404,1004,1081,970,1600,1287,1926,657
"Sin nivel (071)",915,404,163,17,26,30,55,131,89
"Educación inicial (072)",188,,183,2,1,2,,,
"Primaria (073)",5817,,658,873,475,970,878,1438,525
"Secundaria (074)",1743,,,189,459,521,278,265,31
"Superior no univ. incompleto (075)",68,,,,7,21,18,19,3
"Superior no univ. completo (076)",141,,,,,42,45,47,7
"Superior univ. incompleto (077)",21,,,,2,8,2,8,1
"Superior univ. completo (078)",36,,,,,6,11,18,1
"Mujeres (080)",7671,403,991,971,737,1273,1056,1561,679
"Sin nivel (081)",1214,403,160,14,13,63,74,251,236
"Educación inicial (082)",165,,155,2,2,,6,,
"Primaria (083)",4937,,676,747,346,817,750,1170,431
"Secundaria (084)",1150,,,208,362,314,160,101,5
"Superior no univ. incompleto (085)",53,,,,9,23,13,8,
"Superior no univ. completo (086)",107,,,,,38,39,23,7
"Superior univ. incompleto (087)",21,,,,5,8,7,1,
"Superior univ. completo (088)",24,,,,,10,7,7,
