"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CANDARAVE (000)",3180,8546,7660,,95,89.6,1.1
"De 12 a 14 años (001)",223,,,,,,
"De 15 a 19 años (002)",313,59,59,15,100,25.4,
"De 20 a 24 años (003)",293,229,227,21,99.1,9.2,
"De 25 a 29 años (004)",313,439,420,34,95.7,7.7,
"De 30 a 34 años (005)",335,695,663,12,95.4,1.7,
"De 35 a 39 años (006)",294,738,691,8,93.6,1.1,
"De 40 a 44 años (007)",260,858,812,4,94.6,0.5,
"De 45 a 49 años (008)",232,849,788,1,92.8,0.1,
"De 50 y más años (009)",917,4679,4000,,85.5,,
"Conviviente (010)",945,2261,2127,67,94.1,3,
"De 12 a 14 años (011)",3,,,,,,
"De 15 a 19 años (012)",55,34,34,9,100,26.5,
"De 20 a 24 años (013)",144,154,153,14,99.4,9.1,
"De 25 a 29 años (014)",180,297,282,28,94.9,9.4,
"De 30 a 34 años (015)",180,413,398,8,96.4,1.9,
"De 35 a 39 años (016)",135,359,344,6,95.8,1.7,
"De 40 a 44 años (017)",92,285,275,1,96.5,0.4,
"De 45 a 49 años (018)",62,238,223,1,93.7,0.4,
"De 50 y más años (019)",94,481,418,,86.9,,
"Separado(a) (020)",103,325,303,4,93.2,1.2,
"De 15 a 19 años (022)",1,1,1,,100,,
"De 20 a 24 años (023)",10,10,10,1,100,10,
"De 25 a 29 años (024)",14,19,19,1,100,5.3,
"De 30 a 34 años (025)",15,37,37,1,100,2.7,
"De 35 a 39 años (026)",12,30,27,,90,,
"De 40 a 44 años (027)",13,52,50,1,96.2,1.9,
"De 45 a 49 años (028)",6,19,18,,94.7,,
"De 50 y más años (029)",32,157,141,,89.8,,
"Casado(a) (030)",1060,4449,3959,14,89,0.3,
"De 15 a 19 años (032)",3,7,7,1,100,14.3,
"De 20 a 24 años (033)",26,36,35,3,97.2,8.3,
"De 25 a 29 años (034)",50,92,88,5,95.7,5.4,
"De 30 a 34 años (035)",95,212,196,2,92.5,0.9,
"De 35 a 39 años (036)",107,296,269,2,90.9,0.7,
"De 40 a 44 años (037)",125,446,416,1,93.3,0.2,
"De 45 a 49 años (038)",139,550,507,,92.2,,
"De 50 y más años (039)",515,2810,2441,,86.9,,
"Viudo(a) (040)",242,1240,1013,,81.7,,
"De 25 a 29 años (044)",1,1,1,,100,,
