"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PADRE ABAD (000)",20103,1032,25,8589,7813,685,822,397,740
"Agric., ganadería, caza y silvicultura (001)",11199,816,17,6294,3756,127,60,72,57
"Pesca (002)",12,,,3,8,,1,,
"Explotación de minas y canteras (003)",31,,,4,12,8,4,2,1
"Industrias manufactureras (004)",860,16,,285,457,40,21,24,17
"Suministro de electricidad, gas y agua (005)",15,,,2,6,,1,1,5
"Construcción (006)",1155,17,2,268,605,104,62,39,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2008,61,3,595,1041,104,75,75,54
"Venta, mant.y rep. veh.autom.y motoc. (008)",289,2,,56,158,26,28,8,11
"Comercio al por mayor (009)",99,2,,32,45,7,5,4,4
"Comercio al por menor (010)",1620,57,3,507,838,71,42,63,39
"Hoteles y restaurantes (011)",821,43,1,347,344,35,15,24,12
"Trans., almac. y comunicaciones (012)",1073,7,,240,689,56,31,25,25
"Intermediación financiera (013)",11,,,1,2,2,,,6
"Activid.inmobil., empres. y de alquiler (014)",340,1,,14,123,50,41,25,86
"Admin.pub. y defensa; p. segur.soc.afil (015)",575,2,,59,151,23,204,34,102
"Enseñanza (016)",568,,,1,42,50,209,38,228
"Servicios sociales y de salud (017)",140,,,11,16,13,35,12,53
"Otras activ. serv.comun.soc y personales (018)",218,11,,60,91,19,14,10,13
"Hogares privados con servicio doméstico (019)",365,20,1,166,165,7,4,1,1
"Actividad economica no especificada (021)",712,38,1,239,305,47,45,15,22
"Hombres (022)",15230,613,14,6483,6222,520,580,280,518
"Agric., ganadería, caza y silvicultura (023)",9424,546,12,5215,3370,110,56,66,49
"Pesca (024)",10,,,2,7,,1,,
"Explotación de minas y canteras (025)",30,,,4,11,8,4,2,1
"Industrias manufactureras (026)",730,9,,232,404,31,19,21,14
"Suministro de electricidad, gas y agua (027)",15,,,2,6,,1,1,5
"Construcción (028)",1109,12,2,255,585,104,58,38,55
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1073,15,,269,595,66,48,41,39
"Venta, mant.y rep. veh.autom.y motoc. (030)",257,2,,52,143,22,22,6,10
"Comercio al por mayor (031)",75,,,22,38,7,2,2,4
"Comercio al por menor (032)",741,13,,195,414,37,24,33,25
"Hoteles y restaurantes (033)",164,3,,46,77,18,1,11,8
"Trans., almac. y comunicaciones (034)",1015,6,,233,658,48,27,22,21
"Intermediación financiera (035)",6,,,,1,1,,,4
"Activid.inmobil., empres. y de alquiler (036)",257,1,,11,91,39,27,18,70
"Admin.pub. y defensa; p. segur.soc.afil (037)",478,,,39,121,18,190,28,82
"Enseñanza (038)",275,,,,13,20,106,13,123
"Servicios sociales y de salud (039)",62,,,4,5,8,16,5,24
"Otras activ. serv.comun.soc y personales (040)",100,1,,19,47,11,7,4,11
"Hogares privados con servicio doméstico (041)",48,4,,23,18,1,1,,1
"Actividad economica no especificada (043)",434,16,,129,213,37,18,10,11
"Mujeres (044)",4873,419,11,2106,1591,165,242,117,222
"Agric., ganadería, caza y silvicultura (045)",1775,270,5,1079,386,17,4,6,8
