"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JAUJA (000)",28936,22408,2520,1675,2333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",127,4,5,13,105
"Profes., científicos e intelectuales (002)",2615,612,486,635,882
"Técnicos de nivel medio y trab. asimilados (003)",1048,593,121,107,227
"Jefes y empleados de oficina (004)",773,124,73,109,467
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3275,2993,174,46,62
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5088,4849,228,10,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2163,1618,250,167,128
"Obreros construc.,conf.,papel, fab., instr. (008)",2377,1914,228,150,85
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",10913,9312,921,430,250
"Otra (010)",105,,,,105
"Ocupación no especificada (011)",452,389,34,8,21
"Hombres (012)",17920,13792,1641,1154,1333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",93,3,3,10,77
"Profes., científicos e intelectuales (014)",1384,349,259,353,423
"Técnicos de nivel medio y trab. asimilados (015)",701,431,94,91,85
"Jefes y empleados de oficina (016)",347,55,36,50,206
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1239,1069,88,41,41
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3792,3615,166,10,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1822,1335,215,158,114
"Obreros construc.,conf.,papel, fab., instr. (020)",2332,1887,217,146,82
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5958,4938,547,288,185
"Otra (022)",101,,,,101
"Ocupación no especificada (023)",151,110,16,7,18
"Mujeres (024)",11016,8616,879,521,1000
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",34,1,2,3,28
"Profes., científicos e intelectuales (026)",1231,263,227,282,459
"Técnicos de nivel medio y trab. asimilados (027)",347,162,27,16,142
"Jefes y empleados de oficina (028)",426,69,37,59,261
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2036,1924,86,5,21
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1296,1234,62,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",341,283,35,9,14
"Obreros construc.,conf.,papel, fab., instr. (032)",45,27,11,4,3
