"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ACOBAMBA (000)",15410,262,5296,5172,3621,1059
"Agric., ganadería, caza y silvicultura (001)",11794,224,4033,3663,2938,936
"Pesca (002)",4,1,1,2,,
"Explotación de minas y canteras (003)",25,,14,9,1,1
"Industrias manufactureras (004)",168,2,84,57,22,3
"Suministro de electricidad, gas y agua (005)",9,,4,2,3,
"Construcción (006)",260,2,71,117,64,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",985,19,348,396,180,42
"Venta, mant.y rep. veh.autom.y motoc. (008)",39,1,21,15,2,
"Comercio al por mayor (009)",33,,8,17,7,1
"Comercio al por menor (010)",913,18,319,364,171,41
"Hoteles y restaurantes (011)",217,3,80,80,48,6
"Trans., almac. y comunicaciones (012)",181,,68,83,25,5
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",94,,32,48,11,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",255,,105,100,47,3
"Enseñanza (016)",634,,143,351,135,5
"Servicios sociales y de salud (017)",158,,64,75,19,
"Otras activ. serv.comun.soc y personales (018)",75,1,36,30,8,
"Hogares privados con servicio doméstico (019)",78,7,45,18,7,1
"Actividad economica no especificada (021)",472,3,167,141,113,48
"Hombres (022)",10396,136,3479,3587,2488,706
"Agric., ganadería, caza y silvicultura (023)",8270,120,2763,2684,2064,639
"Pesca (024)",1,1,,,,
"Explotación de minas y canteras (025)",25,,14,9,1,1
"Industrias manufactureras (026)",131,1,63,45,19,3
"Suministro de electricidad, gas y agua (027)",8,,3,2,3,
"Construcción (028)",250,1,66,113,64,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",495,10,184,195,84,22
"Venta, mant.y rep. veh.autom.y motoc. (030)",35,1,19,14,1,
"Comercio al por mayor (031)",18,,4,9,4,1
"Comercio al por menor (032)",442,9,161,172,79,21
"Hoteles y restaurantes (033)",66,,25,19,19,3
"Trans., almac. y comunicaciones (034)",174,,66,81,24,3
"Intermediación financiera (035)",1,,1,,,
"Activid.inmobil., empres. y alquileres (036)",74,,20,42,9,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",207,,80,83,41,3
"Enseñanza (038)",362,,59,208,91,4
"Servicios sociales y de salud (039)",71,,24,33,14,
"Otras activ. serv.comun.soc y personales (040)",41,1,18,17,5,
"Hogares privados con servicio doméstico (041)",14,1,9,2,1,1
