"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PACHITEA (000)",17198,2278,14920
"Casa independiente (001)",15750,2200,13550
"Departamento en edificio (002)",12,12,
"Vivienda en quinta (003)",22,22,
"Vivienda en casa de vecindad (004)",43,43,
"Choza o cabaña (005)",1365,,1365
"Local no dest.para hab. humana (007)",3,1,2
"Otro tipo (008)",3,,3
