"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUCUITO (000)",42541,9102,33439
"Casa independiente (001)",38480,8756,29724
"Departamento en edificio (002)",32,32,
"Vivienda en quinta (003)",30,30,
"Vivienda en casa de vecindad (004)",241,241,
"Choza o cabaña (005)",3708,,3708
"Vivienda improvisada (006)",30,30,
"Local no dest.para hab. humana (007)",18,12,6
"Otro tipo (008)",2,1,1
