"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JORGE BASADRE (000)",5571,32,1679,2025,1560,275
"Agric., ganadería, caza y silvicultura (001)",1646,22,442,478,517,187
"Pesca (002)",22,,1,11,10,
"Explotación de minas y canteras (003)",526,,52,174,274,26
"Industrias manufactureras (004)",189,2,53,73,50,11
"Suministro de electricidad, gas y agua (005)",10,,2,5,2,1
"Construcción (006)",342,,121,127,88,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",252,4,74,94,70,10
"Venta, mant.y rep. veh.autom.y motoc. (008)",98,,34,39,20,5
"Comercio al por mayor (009)",8,1,1,4,2,
"Comercio al por menor (010)",146,3,39,51,48,5
"Hoteles y restaurantes (011)",184,1,73,65,42,3
"Trans., almac. y comunicaciones (012)",138,,33,57,46,2
"Intermediación financiera (013)",7,,2,4,1,
"Activid.inmobil., empres. y alquileres (014)",138,,41,67,29,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",1633,,639,662,312,20
"Enseñanza (016)",142,,23,83,36,
"Servicios sociales y de salud (017)",93,,23,32,35,3
"Otras activ. serv.comun.soc y personales (018)",41,1,9,21,9,1
"Hogares privados con servicio doméstico (019)",85,2,50,24,9,
"Actividad economica no especificada (021)",123,,41,48,30,4
"Hombres (022)",4053,16,1163,1490,1177,207
"Agric., ganadería, caza y silvicultura (023)",1017,12,266,288,324,127
"Pesca (024)",21,,1,10,10,
"Explotación de minas y canteras (025)",502,,46,166,264,26
"Industrias manufactureras (026)",146,,40,59,39,8
"Suministro de electricidad, gas y agua (027)",10,,2,5,2,1
"Construcción (028)",328,,114,122,86,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",136,1,45,51,30,9
"Venta, mant.y rep. veh.autom.y motoc. (030)",96,,33,39,19,5
"Comercio al por mayor (031)",2,,1,1,,
"Comercio al por menor (032)",38,1,11,11,11,4
"Hoteles y restaurantes (033)",73,1,34,22,14,2
"Trans., almac. y comunicaciones (034)",123,,28,49,44,2
"Intermediación financiera (035)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (036)",101,,26,47,27,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",1389,,517,574,278,20
"Enseñanza (038)",50,,6,30,14,
"Servicios sociales y de salud (039)",43,,5,18,18,2
"Otras activ. serv.comun.soc y personales (040)",24,1,4,12,6,1
"Hogares privados con servicio doméstico (041)",8,1,3,4,,
