"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PIURA (000)",299713,250218,49495
"De 3 a 5 años (001)",42925,3982,38943
"De 6 a 11 años (002)",81077,73656,7421
"De 12 a 16 años (003)",72277,71119,1158
"De 17 a 24 años (004)",103434,101461,1973
"Hombres (005)",150578,125472,25106
"De 3 a 5 años (006)",21923,2004,19919
"De 6 a 11 años (007)",41113,37239,3874
"De 12 a 16 años (008)",36409,35855,554
"De 17 a 24 años (009)",51133,50374,759
"Mujeres (010)",149135,124746,24389
"De 3 a 5 años (011)",21002,1978,19024
"De 6 a 11 años (012)",39964,36417,3547
"De 12 a 16 años (013)",35868,35264,604
"De 17 a 24 años (014)",52301,51087,1214
,,,
"URBANA (015)",254902,215002,39900
"De 3 a 5 años (016)",36066,3605,32461
"De 6 a 11 años (017)",68373,62917,5456
"De 12 a 16 años (018)",61243,60505,738
"De 17 a 24 años (019)",89220,87975,1245
"Hombres (020)",127420,107179,20241
"De 3 a 5 años (021)",18371,1814,16557
"De 6 a 11 años (022)",34702,31840,2862
"De 12 a 16 años (023)",30704,30337,367
"De 17 a 24 años (024)",43643,43188,455
"Mujeres (025)",127482,107823,19659
"De 3 a 5 años (026)",17695,1791,15904
"De 6 a 11 años (027)",33671,31077,2594
"De 12 a 16 años (028)",30539,30168,371
"De 17 a 24 años (029)",45577,44787,790
,,,
"RURAL (030)",44811,35216,9595
"De 3 a 5 años (031)",6859,377,6482
"De 6 a 11 años (032)",12704,10739,1965
"De 12 a 16 años (033)",11034,10614,420
"De 17 a 24 años (034)",14214,13486,728
"Hombres (035)",23158,18293,4865
"De 3 a 5 años (036)",3552,190,3362
"De 6 a 11 años (037)",6411,5399,1012
"De 12 a 16 años (038)",5705,5518,187
"De 17 a 24 años (039)",7490,7186,304
"Mujeres (040)",21653,16923,4730
"De 3 a 5 años (041)",3307,187,3120
"De 6 a 11 años (042)",6293,5340,953
"De 12 a 16 años (043)",5329,5096,233
"De 17 a 24 años (044)",6724,6300,424
