"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JAEN (000)",1960,527,1433
"Sin nivel (001)",105,18,87
"Educación inicial (002)",4,,4
"Primaria (003)",731,152,579
"Secundaria (004)",747,243,504
"Superior no univ. incompleta (005)",67,25,42
"Superior no univ. completa (006)",151,45,106
"Superior univ. incompleta (007)",41,10,31
"Superior univ. completa (008)",114,34,80
"De 14 a 29 años (010)",1062,417,645
"Sin nivel (011)",28,13,15
"Educación inicial (012)",1,,1
"Primaria (013)",314,110,204
"Secundaria (014)",487,198,289
"Superior no univ. incompleta (015)",44,21,23
"Superior no univ. completa (016)",100,38,62
"Superior univ. incompleta (017)",25,9,16
"Superior univ. completa (018)",63,28,35
"De 30 a 44 años (020)",533,89,444
"Sin nivel (021)",23,4,19
"Educación inicial (022)",3,,3
"Primaria (023)",208,32,176
"Secundaria (024)",190,35,155
"Superior no univ. incompleta (025)",16,4,12
"Superior no univ. completa (026)",39,7,32
"Superior univ. incompleta (027)",12,1,11
"Superior univ. completa (028)",42,6,36
"De 45 a 64 años (030)",298,21,277
"Sin nivel (031)",33,1,32
"Primaria (033)",166,10,156
"Secundaria (034)",69,10,59
"Superior no univ. incompleta (035)",5,,5
"Superior no univ. completa (036)",12,,12
"Superior univ. incompleta (037)",4,,4
"Superior univ. completa (038)",9,,9
"De 65 y más años (040)",67,,67
"Sin nivel (041)",21,,21
"Primaria (043)",43,,43
"Secundaria (044)",1,,1
"Superior no univ. incompleta (045)",2,,2
,,,
"AREA URBANA (050)",1326,375,951
"Sin nivel (051)",39,7,32
"Educación inicial (052)",4,,4
"Primaria (053)",365,77,288
"Secundaria (054)",571,188,383
"Superior no univ. incompleta (055)",60,21,39
"Superior no univ. completa (056)",136,39,97
"Superior univ. incompleta (057)",40,10,30
"Superior univ. completa (058)",111,33,78
"De 14 a 29 años (060)",698,283,415
"Sin nivel (061)",10,5,5
"Educación inicial (062)",1,,1
"Primaria (063)",122,45,77
"Secundaria (064)",352,147,205
"Superior no univ. incompleta (065)",40,17,23
"Superior no univ. completa (066)",88,33,55
"Superior univ. incompleta (067)",24,9,15
"Superior univ. completa (068)",61,27,34
"De 30 a 44 años (070)",394,74,320
"Sin nivel (071)",9,1,8
"Educación inicial (072)",3,,3
"Primaria (073)",121,25,96
"Secundaria (074)",157,31,126
"Superior no univ. incompleta (075)",14,4,10
"Superior no univ. completa (076)",37,6,31
"Superior univ. incompleta (077)",12,1,11
"Superior univ. completa (078)",41,6,35
"De 45 a 64 años (080)",196,18,178
"Sin nivel (081)",13,1,12
"Primaria (083)",93,7,86
"Secundaria (084)",62,10,52
"Superior no univ. incompleta (085)",4,,4
"Superior no univ. completa (086)",11,,11
"Superior univ. incompleta (087)",4,,4
"Superior univ. completa (088)",9,,9
"De 65 y más años (090)",38,,38
"Sin nivel (091)",7,,7
"Primaria (093)",29,,29
"Superior no univ. incompleta (095)",2,,2
,,,
"AREA RURAL (100)",634,152,482
"Sin nivel (101)",66,11,55
"Primaria (103)",366,75,291
"Secundaria (104)",176,55,121
"Superior no univ. incompleta (105)",7,4,3
"Superior no univ. completa (106)",15,6,9
"Superior univ. incompleta (107)",1,,1
"Superior univ. completa (108)",3,1,2
"De 14 a 29 años (110)",364,134,230
"Sin nivel (111)",18,8,10
"Primaria (113)",192,65,127
"Secundaria (114)",135,51,84
"Superior no univ. incompleta (115)",4,4,
"Superior no univ. completa (116)",12,5,7
"Superior univ. incompleta (117)",1,,1
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",139,15,124
"Sin nivel (121)",14,3,11
"Primaria (123)",87,7,80
"Secundaria (124)",33,4,29
"Superior no univ. incompleta (125)",2,,2
"Superior no univ. completa (126)",2,1,1
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",102,3,99
"Sin nivel (131)",20,,20
"Primaria (133)",73,3,70
"Secundaria (134)",7,,7
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",29,,29
"Sin nivel (141)",14,,14
"Primaria (143)",14,,14
"Secundaria (144)",1,,1
