"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ILO (000)",1968,344,1624
"Sin nivel (001)",22,3,19
"Educación inicial (002)",1,,1
"Primaria (003)",198,13,185
"Secundaria (004)",765,152,613
"Superior no univ. incompleta (005)",237,44,193
"Superior no univ. completa (006)",350,53,297
"Superior univ. incompleta (007)",150,30,120
"Superior univ. completa (008)",245,49,196
"Hombres (010)",1300,192,1108
"Sin nivel (011)",10,1,9
"Educación inicial (012)",1,,1
"Primaria (013)",139,6,133
"Secundaria (014)",538,98,440
"Superior no univ. incompleta (015)",146,20,126
"Superior no univ. completa (016)",224,34,190
"Superior univ. incompleta (017)",88,15,73
"Superior univ. completa (018)",154,18,136
"Mujeres (020)",668,152,516
"Sin nivel (021)",12,2,10
"Primaria (023)",59,7,52
"Secundaria (024)",227,54,173
"Superior no univ. incompleta (025)",91,24,67
"Superior no univ. completa (026)",126,19,107
"Superior univ. incompleta (027)",62,15,47
"Superior univ. completa (028)",91,31,60
,,,
"AREA URBANA (030)",1965,343,1622
"Sin nivel (031)",21,2,19
"Educación inicial (032)",1,,1
"Primaria (033)",198,13,185
"Secundaria (034)",764,152,612
"Superior no univ. incompleta (035)",237,44,193
"Superior no univ. completa (036)",350,53,297
"Superior univ. incompleta (037)",150,30,120
"Superior univ. completa (038)",244,49,195
"Hombres (040)",1298,191,1107
"Sin nivel (041)",9,,9
"Educación inicial (042)",1,,1
"Primaria (043)",139,6,133
"Secundaria (044)",537,98,439
"Superior no univ. incompleta (045)",146,20,126
"Superior no univ. completa (046)",224,34,190
"Superior univ. incompleta (047)",88,15,73
"Superior univ. completa (048)",154,18,136
"Mujeres (050)",667,152,515
"Sin nivel (051)",12,2,10
"Primaria (053)",59,7,52
"Secundaria (054)",227,54,173
"Superior no univ. incompleta (055)",91,24,67
"Superior no univ. completa (056)",126,19,107
"Superior univ. incompleta (057)",62,15,47
"Superior univ. completa (058)",90,31,59
,,,
"AREA RURAL (060)",3,1,2
"Sin nivel (061)",1,1,
"Secundaria (064)",1,,1
"Superior univ. completa (068)",1,,1
"Hombres (070)",2,1,1
"Sin nivel (071)",1,1,
"Secundaria (074)",1,,1
"Mujeres (080)",1,,1
"Superior univ. completa (088)",1,,1
