"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN ROMAN (000)",213101,48189,74137,50383,31129,9263
"Sin nivel (001)",9423,515,439,1000,3548,3921
"Educación inicial (002)",2132,2020,70,42,,
"Primaria (003)",67492,32772,5577,12277,13038,3828
"Secundaria (004)",80182,12882,39539,18784,8072,905
"Superior no univ. incompleta (005)",10776,,7438,2591,691,56
"Superior no univ. completa (006)",10569,,4375,4674,1347,173
"Superior univ. incompleta (007)",15753,,11710,2922,1065,56
"Superior univ. completa (008)",16774,,4989,8093,3368,324
"PEA (010)",96854,1370,34252,36196,21511,3525
"Sin nivel (011)",3581,17,154,456,1725,1229
"Educación inicial (012)",73,15,31,27,,
"Primaria (013)",20897,650,2877,7251,8415,1704
"Secundaria (014)",38877,688,18132,13643,6037,377
"Superior no univ. incompleta (015)",5637,,3099,1972,543,23
"Superior no univ. completa (016)",7921,,3014,3805,1061,41
"Superior univ. incompleta (017)",6526,,3386,2255,858,27
"Superior univ. completa (018)",13342,,3559,6787,2872,124
"Ocupada (020)",90010,1270,30533,34105,20684,3418
"Sin nivel (021)",3456,12,135,433,1675,1201
"Educación inicial (022)",63,12,27,24,,
"Primaria (023)",19847,616,2618,6888,8072,1653
"Secundaria (024)",35622,630,16092,12776,5763,361
"Superior no univ. incompleta (025)",5207,,2819,1848,518,22
"Superior no univ. completa (026)",7342,,2682,3595,1027,38
"Superior univ. incompleta (027)",6064,,3078,2137,824,25
