"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14921,1364,1556,7761,103,3952,185
"Sin nivel (001)",2800,8,186,1416,19,1150,21
"Educación inicial (002)",29,,,11,,18,
"Primaria (003)",6784,97,715,3847,33,2003,89
"Secundaria (004)",3850,266,569,2174,37,731,73
"Superior no univ. incompleta (005)",379,201,41,111,2,22,2
"Superior no univ. completa (006)",522,399,20,83,8,12,
"Superior univ. incompleta (007)",176,106,9,55,,6,
"Superior univ. completa (008)",381,287,16,64,4,10,
"Hombres (010)",9289,962,1115,5864,67,1263,18
"Sin nivel (011)",880,1,73,702,2,101,1
"Educación inicial (012)",4,,,2,,2,
"Primaria (013)",4243,58,457,3030,24,670,4
"Secundaria (014)",3070,192,505,1867,31,462,13
"Superior no univ. incompleta (015)",293,147,36,96,1,13,
"Superior no univ. completa (016)",391,292,19,69,6,5,
"Superior univ. incompleta (017)",131,74,9,43,,5,
"Superior univ. completa (018)",277,198,16,55,3,5,
"Mujeres (020)",5632,402,441,1897,36,2689,167
"Sin nivel (021)",1920,7,113,714,17,1049,20
"Educación inicial (022)",25,,,9,,16,
"Primaria (023)",2541,39,258,817,9,1333,85
"Secundaria (024)",780,74,64,307,6,269,60
"Superior no univ. incompleta (025)",86,54,5,15,1,9,2
"Superior no univ. completa (026)",131,107,1,14,2,7,
"Superior univ. incompleta (027)",45,32,,12,,1,
"Superior univ. completa (028)",104,89,,9,1,5,
,,,,,,,
"URBANA (030)",3984,778,561,1894,60,552,139
"Sin nivel (031)",236,6,24,135,1,65,5
"Educación inicial (032)",2,,,,,2,
"Primaria (033)",1384,74,198,788,21,237,66
"Secundaria (034)",1543,185,284,755,30,222,67
"Superior no univ. incompleta (035)",182,76,30,67,1,7,1
"Superior no univ. completa (036)",290,206,12,60,3,9,
"Superior univ. incompleta (037)",82,39,5,37,,1,
"Superior univ. completa (038)",265,192,8,52,4,9,
"Hombres (040)",2563,496,472,1326,45,209,15
"Sin nivel (041)",82,1,15,59,,7,
"Primaria (043)",795,38,147,525,16,66,3
"Secundaria (044)",1111,127,258,564,25,125,12
"Superior no univ. incompleta (045)",134,49,27,55,,3,
"Superior no univ. completa (046)",200,135,12,49,1,3,
"Superior univ. incompleta (047)",61,25,5,30,,1,
"Superior univ. completa (048)",180,121,8,44,3,4,
"Mujeres (050)",1421,282,89,568,15,343,124
"Sin nivel (051)",154,5,9,76,1,58,5
"Educación inicial (052)",2,,,,,2,
"Primaria (053)",589,36,51,263,5,171,63
"Secundaria (054)",432,58,26,191,5,97,55
"Superior no univ. incompleta (055)",48,27,3,12,1,4,1
"Superior no univ. completa (056)",90,71,,11,2,6,
"Superior univ. incompleta (057)",21,14,,7,,,
"Superior univ. completa (058)",85,71,,8,1,5,
,,,,,,,
"RURAL (060)",10937,586,995,5867,43,3400,46
"Sin nivel (061)",2564,2,162,1281,18,1085,16
"Educación inicial (062)",27,,,11,,16,
"Primaria (063)",5400,23,517,3059,12,1766,23
"Secundaria (064)",2307,81,285,1419,7,509,6
"Superior no univ. incompleta (065)",197,125,11,44,1,15,1
"Superior no univ. completa (066)",232,193,8,23,5,3,
"Superior univ. incompleta (067)",94,67,4,18,,5,
"Superior univ. completa (068)",116,95,8,12,,1,
"Hombres (070)",6726,466,643,4538,22,1054,3
"Sin nivel (071)",798,,58,643,2,94,1
"Educación inicial (072)",4,,,2,,2,
"Primaria (073)",3448,20,310,2505,8,604,1
"Secundaria (074)",1959,65,247,1303,6,337,1
"Superior no univ. incompleta (075)",159,98,9,41,1,10,
"Superior no univ. completa (076)",191,157,7,20,5,2,
"Superior univ. incompleta (077)",70,49,4,13,,4,
"Superior univ. completa (078)",97,77,8,11,,1,
"Mujeres (080)",4211,120,352,1329,21,2346,43
"Sin nivel (081)",1766,2,104,638,16,991,15
"Educación inicial (082)",23,,,9,,14,
"Primaria (083)",1952,3,207,554,4,1162,22
"Secundaria (084)",348,16,38,116,1,172,5
"Superior no univ. incompleta (085)",38,27,2,3,,5,1
"Superior no univ. completa (086)",41,36,1,3,,1,
"Superior univ. incompleta (087)",24,18,,5,,1,
"Superior univ. completa (088)",19,18,,1,,,
