"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",19163,18672,5573,2950,2783,1943,2531,1496,850,546,491,48340
"De 12 a 14 años (001)",1733,1728,1722,5,1,,,,,,5,7
"De 15 a 19 años (002)",2421,2388,2075,279,30,4,,,,,33,351
"De 20 a 24 años (003)",2245,2108,913,808,308,61,15,3,,,137,1689
"De 25 a 29 años (004)",1909,1810,314,655,504,221,107,7,2,,99,2846
"De 30 a 34 años (005)",1790,1730,126,417,543,350,255,33,4,2,60,3912
"De 35 a 39 años (006)",1756,1712,82,256,483,382,368,107,28,6,44,4957
"De 40 a 44 años (007)",1576,1547,68,155,311,296,425,199,76,17,29,5631
"De 45 a 49 años (008)",1234,1220,63,103,220,196,327,204,74,33,14,4868
"De 50 y más años (009)",4499,4429,210,272,383,433,1034,943,666,488,70,24079
"Sin nivel (010)",1857,1796,160,106,138,148,398,358,278,210,61,9614
"De 12 a 14 años (011)",22,22,22,,,,,,,,,
"De 15 a 19 años (012)",35,34,26,5,2,1,,,,,1,12
"De 20 a 24 años (013)",30,23,9,8,3,3,,,,,7,23
"De 25 a 29 años (014)",52,50,11,8,7,11,13,,,,2,111
"De 30 a 34 años (015)",61,60,2,10,12,13,19,2,1,1,1,190
"De 35 a 39 años (016)",93,86,5,9,12,9,35,9,6,1,7,332
"De 40 a 44 años (017)",99,94,8,7,5,8,21,27,16,2,5,466
"De 45 a 49 años (018)",130,123,11,4,14,11,26,36,9,12,7,619
"De 50 y más años (019)",1335,1304,66,55,83,92,284,284,246,194,31,7861
"Educacion Inicial (020)",27,26,12,4,3,3,4,,,,1,35
"De 12 a 14 años (021)",6,6,6,,,,,,,,,
"De 15 a 19 años (022)",5,5,5,,,,,,,,,
