"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia CHUCUITO (000)",126259,64534,61725,35767,18649,17118,90492,45885,44607
"Menores de 1 año (001)",2098,1086,1012,576,298,278,1522,788,734
"Menores de 1 mes (002)",204,108,96,65,31,34,139,77,62
"De 1 a 11 meses (003)",1894,978,916,511,267,244,1383,711,672
"De 1 a 4 años (004)",10126,5270,4856,2842,1482,1360,7284,3788,3496
"1 año (005)",2212,1200,1012,642,358,284,1570,842,728
"2 años (006)",2669,1399,1270,743,382,361,1926,1017,909
"3 años (007)",2490,1277,1213,723,376,347,1767,901,866
"4 años (008)",2755,1394,1361,734,366,368,2021,1028,993
"De 5 a 9 años (009)",13332,6820,6512,3553,1804,1749,9779,5016,4763
"5 años (010)",2687,1328,1359,718,343,375,1969,985,984
"6 años (011)",2479,1262,1217,666,340,326,1813,922,891
"7 años (012)",2688,1413,1275,715,373,342,1973,1040,933
"8 años (013)",2876,1491,1385,778,404,374,2098,1087,1011
"9 años (014)",2602,1326,1276,676,344,332,1926,982,944
"De 10 a 14 años (015)",14691,7567,7124,4035,2091,1944,10656,5476,5180
"10 años (016)",3223,1688,1535,911,500,411,2312,1188,1124
"11 años (017)",2504,1296,1208,662,344,318,1842,952,890
"12 años (018)",3322,1652,1670,896,456,440,2426,1196,1230
"13 años (019)",2767,1415,1352,766,385,381,2001,1030,971
"14 años (020)",2875,1516,1359,800,406,394,2075,1110,965
"De 15 a 19 años (021)",13367,6883,6484,4193,2171,2022,9174,4712,4462
"15 años (022)",2943,1555,1388,901,467,434,2042,1088,954
"16 años (023)",2592,1342,1250,809,407,402,1783,935,848
"17 años (024)",2848,1444,1404,820,427,393,2028,1017,1011
"18 años (025)",2809,1435,1374,908,472,436,1901,963,938
"19 años (026)",2175,1107,1068,755,398,357,1420,709,711
"De 20 a 24 años (027)",11569,5889,5680,3854,1982,1872,7715,3907,3808
"20 años (028)",2958,1508,1450,1071,556,515,1887,952,935
"21 años (029)",1786,901,885,555,275,280,1231,626,605
"22 años (030)",2417,1292,1125,799,411,388,1618,881,737
"23 años (031)",2150,1048,1102,671,337,334,1479,711,768
"24 años (032)",2258,1140,1118,758,403,355,1500,737,763
"De 25 a 29 años (033)",10627,5370,5257,3475,1796,1679,7152,3574,3578
"25 años (034)",2698,1377,1321,915,479,436,1783,898,885
"26 años (035)",1860,872,988,565,289,276,1295,583,712
"27 años (036)",2193,1119,1074,720,365,355,1473,754,719
"28 años (037)",2344,1166,1178,757,387,370,1587,779,808
"29 años (038)",1532,836,696,518,276,242,1014,560,454
"De 30 a 34 años (039)",8437,4328,4109,2709,1472,1237,5728,2856,2872
"30 años (040)",2810,1447,1363,891,490,401,1919,957,962
