"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CELENDIN (000)",1395,415,980
"Sin nivel (001)",125,35,90
"Educación inicial (002)",14,2,12
"Primaria (003)",791,229,562
"Secundaria (004)",293,101,192
"Superior no univ. incompleta (005)",42,7,35
"Superior no univ. completa (006)",102,32,70
"Superior univ. incompleta (007)",4,1,3
"Superior univ. completa (008)",24,8,16
"De 14 a 29 años (010)",793,305,488
"Sin nivel (011)",31,17,14
"Educación inicial (012)",11,1,10
"Primaria (013)",431,169,262
"Secundaria (014)",216,82,134
"Superior no univ. incompleta (015)",25,5,20
"Superior no univ. completa (016)",66,26,40
"Superior univ. incompleta (017)",3,,3
"Superior univ. completa (018)",10,5,5
"De 30 a 44 años (020)",339,89,250
"Sin nivel (021)",37,12,25
"Educación inicial (022)",3,1,2
"Primaria (023)",200,51,149
"Secundaria (024)",47,14,33
"Superior no univ. incompleta (025)",12,2,10
"Superior no univ. completa (026)",29,5,24
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",10,3,7
"De 45 a 64 años (030)",192,21,171
"Sin nivel (031)",31,6,25
"Primaria (033)",122,9,113
"Secundaria (034)",27,5,22
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",6,1,5
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",71,,71
"Sin nivel (041)",26,,26
"Primaria (043)",38,,38
"Secundaria (044)",3,,3
"Superior no univ. incompleta (045)",2,,2
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",448,121,327
"Sin nivel (051)",25,2,23
"Educación inicial (052)",2,,2
"Primaria (053)",161,35,126
"Secundaria (054)",136,48,88
"Superior no univ. incompleta (055)",21,4,17
"Superior no univ. completa (056)",78,25,53
"Superior univ. incompleta (057)",4,1,3
"Superior univ. completa (058)",21,6,15
"De 14 a 29 años (060)",237,90,147
"Sin nivel (061)",5,1,4
"Educación inicial (062)",2,,2
"Primaria (063)",65,26,39
"Secundaria (064)",91,37,54
"Superior no univ. incompleta (065)",14,2,12
"Superior no univ. completa (066)",50,21,29
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",7,3,4
"De 30 a 44 años (070)",125,27,98
"Sin nivel (071)",8,1,7
"Primaria (073)",51,9,42
"Secundaria (074)",27,8,19
"Superior no univ. incompleta (075)",6,2,4
"Superior no univ. completa (076)",22,3,19
"Superior univ. incompleta (077)",1,1,
"Superior univ. completa (078)",10,3,7
"De 45 a 64 años (080)",66,4,62
"Sin nivel (081)",8,,8
"Primaria (083)",31,,31
"Secundaria (084)",17,3,14
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",6,1,5
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",20,,20
"Sin nivel (091)",4,,4
"Primaria (093)",14,,14
"Secundaria (094)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",947,294,653
"Sin nivel (101)",100,33,67
"Educación inicial (102)",12,2,10
"Primaria (103)",630,194,436
"Secundaria (104)",157,53,104
"Superior no univ. incompleta (105)",21,3,18
"Superior no univ. completa (106)",24,7,17
"Superior univ. completa (108)",3,2,1
"De 14 a 29 años (110)",556,215,341
"Sin nivel (111)",26,16,10
"Educación inicial (112)",9,1,8
"Primaria (113)",366,143,223
"Secundaria (114)",125,45,80
"Superior no univ. incompleta (115)",11,3,8
"Superior no univ. completa (116)",16,5,11
"Superior univ. completa (118)",3,2,1
"De 30 a 44 años (120)",214,62,152
"Sin nivel (121)",29,11,18
"Educación inicial (122)",3,1,2
"Primaria (123)",149,42,107
"Secundaria (124)",20,6,14
"Superior no univ. incompleta (125)",6,,6
"Superior no univ. completa (126)",7,2,5
"De 45 a 64 años (130)",126,17,109
"Sin nivel (131)",23,6,17
"Primaria (133)",91,9,82
"Secundaria (134)",10,2,8
"Superior no univ. incompleta (135)",2,,2
"De 65 y más años (140)",51,,51
"Sin nivel (141)",22,,22
"Primaria (143)",24,,24
"Secundaria (144)",2,,2
"Superior no univ. incompleta (145)",2,,2
"Superior no univ. completa (146)",1,,1
