"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ESPINAR (000)",22864,2893,3677,10875,222,4957,240
"Agric., ganadería, caza y silvicultura (001)",11998,11,628,6914,75,4370,
"Pesca (002)",15,,,13,,2,
"Explotación de minas y canteras (003)",1208,358,751,41,56,2,
"Industrias manufactureras (004)",812,14,214,499,19,66,
"Suministro de electricidad, gas y agua (005)",36,4,32,,,,
"Construcción (006)",1947,109,1551,219,6,62,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2532,188,84,1939,29,292,
"Venta, mant.y rep. veh.autom.y motoc. (008)",234,26,66,126,4,12,
"Comercio al por mayor (009)",94,17,1,62,1,13,
"Comercio al por menor (010)",2204,145,17,1751,24,267,
"Hoteles y restaurantes (011)",701,224,32,381,14,50,
"Trans., almac. y comunicaciones (012)",792,204,93,454,8,33,
"Intermediación financiera (013)",11,11,,,,,
"Activid.inmobil., empres. y alquileres (014)",342,222,31,71,12,6,
"Admin.pub. y defensa; p. segur.soc.afil (015)",443,310,133,,,,
"Enseñanza (016)",1010,925,6,74,1,4,
"Servicios sociales y de salud (017)",146,127,3,16,,,
"Otras activ. serv.comun.soc y personales (018)",272,90,47,125,1,9,
"Hogares privados con servicio doméstico (019)",240,,,,,,240
"Organiz. y organos extraterritoriales (020)",1,1,,,,,
"Actividad economica no especificada (021)",358,95,72,129,1,61,
"Hombres (022)",13426,1944,3240,6512,157,1546,27
"Agric., ganadería, caza y silvicultura (023)",6279,10,358,4553,45,1313,
"Pesca (024)",12,,,11,,1,
"Explotación de minas y canteras (025)",1153,315,743,37,56,2,
"Industrias manufactureras (026)",569,13,188,318,16,34,
"Suministro de electricidad, gas y agua (027)",34,2,32,,,,
"Construcción (028)",1846,92,1482,210,5,57,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",961,102,80,699,11,69,
"Venta, mant.y rep. veh.autom.y motoc. (030)",214,23,63,116,3,9,
"Comercio al por mayor (031)",44,10,1,32,,1,
"Comercio al por menor (032)",703,69,16,551,8,59,
"Hoteles y restaurantes (033)",196,106,16,54,6,14,
"Trans., almac. y comunicaciones (034)",724,179,86,423,7,29,
"Intermediación financiera (035)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (036)",270,176,26,57,8,3,
"Admin.pub. y defensa; p. segur.soc.afil (037)",365,245,120,,,,
"Enseñanza (038)",559,533,5,18,1,2,
"Servicios sociales y de salud (039)",65,52,2,11,,,
"Otras activ. serv.comun.soc y personales (040)",164,56,41,62,1,4,
"Hogares privados con servicio doméstico (041)",27,,,,,,27
"Actividad economica no especificada (043)",195,56,61,59,1,18,
"Mujeres (044)",9438,949,437,4363,65,3411,213
"Agric., ganadería, caza y silvicultura (045)",5719,1,270,2361,30,3057,
"Pesca (046)",3,,,2,,1,
"Explotación de minas y canteras (047)",55,43,8,4,,,
"Industrias manufactureras (048)",243,1,26,181,3,32,
"Suministro de electricidad, gas y agua (049)",2,2,,,,,
"Construcción (050)",101,17,69,9,1,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1571,86,4,1240,18,223,
"Venta, mant.y rep. veh.autom.y motoc. (052)",20,3,3,10,1,3,
"Comercio al por mayor (053)",50,7,,30,1,12,
"Comercio al por menor (054)",1501,76,1,1200,16,208,
"Hoteles y restaurantes (055)",505,118,16,327,8,36,
"Trans., almac. y comunicaciones (056)",68,25,7,31,1,4,
"Intermediación financiera (057)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (058)",72,46,5,14,4,3,
"Admin.pub. y defensa; p. segur.soc.afil (059)",78,65,13,,,,
"Enseñanza (060)",451,392,1,56,,2,
"Servicios sociales y de salud (061)",81,75,1,5,,,
"Otras activ. serv.comun.soc y personales (062)",108,34,6,63,,5,
"Hogares privados con servicio doméstico (063)",213,,,,,,213
"Organiz. y organos extraterritoriales (064)",1,1,,,,,
"Actividad economica no especificada (065)",163,39,11,70,,43,
,,,,,,,
"URBANA (066)",9491,2542,2070,3878,163,667,171
"Agric., ganadería, caza y silvicultura (067)",1124,6,113,721,27,257,
"Pesca (068)",3,,,2,,1,
"Explotación de minas y canteras (069)",1041,343,614,28,56,,
"Industrias manufactureras (070)",478,12,130,286,19,31,
"Suministro de electricidad, gas y agua (071)",18,3,15,,,,
"Construcción (072)",1003,38,822,123,4,16,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2227,166,72,1712,26,251,
"Venta, mant.y rep. veh.autom.y motoc. (074)",206,25,55,111,4,11,
"Comercio al por mayor (075)",85,17,1,53,1,13,
"Comercio al por menor (076)",1936,124,16,1548,21,227,
"Hoteles y restaurantes (077)",596,189,20,331,12,44,
"Trans., almac. y comunicaciones (078)",690,184,83,395,6,22,
"Intermediación financiera (079)",11,11,,,,,
"Activid.inmobil., empres. y alquileres (080)",309,202,24,68,10,5,
"Admin.pub. y defensa; p. segur.soc.afil (081)",339,264,75,,,,
"Enseñanza (082)",894,843,2,47,1,1,
"Servicios sociales y de salud (083)",136,120,3,13,,,
"Otras activ. serv.comun.soc y personales (084)",244,82,44,108,1,9,
"Hogares privados con servicio doméstico (085)",171,,,,,,171
"Organiz. y organos extraterritoriales (086)",1,1,,,,,
"Actividad economica no especificada (087)",206,78,53,44,1,30,
"Hombres (088)",5914,1685,1924,1923,121,241,20
"Agric., ganadería, caza y silvicultura (089)",685,5,74,477,17,112,
"Pesca (090)",2,,,2,,,
"Explotación de minas y canteras (091)",988,300,608,24,56,,
"Industrias manufactureras (092)",341,11,113,186,16,15,
"Suministro de electricidad, gas y agua (093)",16,1,15,,,,
"Construcción (094)",956,37,787,116,3,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",794,93,68,572,10,51,
"Venta, mant.y rep. veh.autom.y motoc. (096)",186,22,52,101,3,8,
"Comercio al por mayor (097)",36,10,1,24,,1,
"Comercio al por menor (098)",572,61,15,447,7,42,
"Hoteles y restaurantes (099)",158,90,9,41,5,13,
"Trans., almac. y comunicaciones (100)",623,160,76,364,5,18,
"Intermediación financiera (101)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (102)",240,158,20,54,6,2,
"Admin.pub. y defensa; p. segur.soc.afil (103)",271,206,65,,,,
"Enseñanza (104)",482,470,2,8,1,1,
"Servicios sociales y de salud (105)",61,50,2,9,,,
"Otras activ. serv.comun.soc y personales (106)",143,49,38,51,1,4,
"Hogares privados con servicio doméstico (107)",20,,,,,,20
"Actividad economica no especificada (109)",127,48,47,19,1,12,
"Mujeres (110)",3577,857,146,1955,42,426,151
"Agric., ganadería, caza y silvicultura (111)",439,1,39,244,10,145,
"Pesca (112)",1,,,,,1,
"Explotación de minas y canteras (113)",53,43,6,4,,,
"Industrias manufactureras (114)",137,1,17,100,3,16,
"Suministro de electricidad, gas y agua (115)",2,2,,,,,
"Construcción (116)",47,1,35,7,1,3,
